ITEM,description,WIDTH,UPC,cost,chop,join,group
577200,"H4 FLOAT WAL 1 5/8""",1.625,,22.58,37.94,38.94,Wood
579100,"EIFFEL CAP SILVER 1 1/4""",1.25,720472193399,12.82,21.53,22.53,Wood
579110,"EIFFEL CAP PEWTER 1 1/4""",1.25,720472193405,12.82,21.53,22.53,Wood
579120,"EIFFEL CAP GOLD 1 1/4""",1.25,720472193412,12.82,21.53,22.53,Wood
579130,"EIFFEL CAP BRONZE 1 1/4""",1.25,720472193429,12.82,21.53,22.53,Wood
580455,LILLE MED SCOOP GOLD 2 3/8,2.3125,,15.58,26.17,27.17,Wood
580465,LILLE MED SCOOP SILVER 2 3/8,2.3125,,15.58,26.17,27.17,Wood
580470,LILLE MED SCOOP PEWTER 2 3/8,2.3125,,15.58,26.17,27.17,Wood
581100,"PANZANO MED SCOOP PEAT 2 3/16""",2.1875,,22.55,37.88,38.88,Wood
581200,PANZANO MED SCOOP BCHNT 2 3/16,2.1875,,22.55,37.88,38.88,Wood
583100,"CARBON 2 1/2"" CUBE FLAT BLACK",2.5,720472193344,17.33,29.11,30.11,Wood
585110,"CUMBERLAND WHT OAK CUBE 1 1/4""",1.25,,9.32,15.66,16.66,Wood
585111,"CUMBERLAND GREY CUBE 1 1/4""",1.25,,7.76,13.03,14.03,Wood
585112,"CUMBERLAND NATURAL CUBE 1 1/4""",1.25,,8.27,13.9,14.9,Wood
585113,CUMBERLAND II WALNUT CUBE,1.25,,12.82,21.53,22.53,Wood
585710,"ALDEN EBON WALNUT 1 1/4""",1.25,,10.51,16.03,17.03,Wood
585712,"ALDEN DK WALNUT 1 1/4""",1.25,,10.51,16.03,17.03,Wood
586452,"MUSEO GOLD SCOOP 1 15/16""",1.9375,,10.09,16.15,17.15,Wood
586453,"MUSEO SILVER SCOOP 1 15/16""",1.9375,,10.09,16.15,17.15,Wood
586454,"MUSEO BLACK SCOOP 1 15/16""",1.9375,,9.28,14.86,15.86,Wood
587807,"PERIMETER SUEDE CAP 13/16""",0.8125,,7.67,12.88,13.88,Wood
588630,"DEVON BLACK 2 5/8""",2.625,,22.07,37.08,38.08,Wood
588650,"DEVON GRAY 2 5/8""",2.625,,22.07,37.08,38.08,Wood
589110,"CUMBERLAND WHTOAK FLOAT 1 3/4""",1.75,,15.27,25.65,26.65,Wood
589111,"CUMBERLAND GREY FLOAT 1 3/4""",1.75,,12.76,21.44,22.44,Wood
589112,"CUMBERLAND NATURL FLOAT 1 3/4""",1.75,,18.7,31.42,32.42,Wood
589113,CUMBERLAND II WALNUT FLOAT,1.75,,31.15,52.33,53.33,Wood
590201,"SHUTTER FLOAT BLACK 2 3/8""",2.375,,9.66,16.22,17.22,Wood
592200,"SALZBURG CUBE SIL 1 1/4""",1.25,,11.64,19.55,20.55,Wood
593350,"BRIMFIELD BLK PANEL 2 1/4""",2.25,,9.93,16.68,17.68,Wood
593360,"BRIMFIELD WHT PANEL 2 1/4""",2.25,,9.93,16.68,17.68,Wood
595203,"MADISON NATURAL SLANT 2 3/8""",2.375,720472197670,11.15,18.74,19.74,Wood
595204,"MADISON BLACK SLANT 2 3/8""",2.375,720472197687,11.13,18.7,19.7,Wood
595205,"MADISON GREY SLANT 2 3/8""",2.375,720472197694,11.13,18.7,19.7,Wood
597110,"CUMBERLAND WHT OAK FLAT 2 1/4""",2.25,,18.96,31.86,32.86,Wood
597111,"CUMBERLAND GREY FLAT 2 1/4""",2.25,,18.73,30.12,31.12,Wood
597112,"CUMBERLAND NATURAL FLAT 2 1/4""",2.25,,10.95,18.39,19.39,Wood
597113,CUMBERLAND II WALNUT FLAT,2.25,,22.33,37.52,38.52,Wood
599405,"LARS 2 1/16"" PANEL SLVR & BLK",2.0625,,12.08,17.37,18.37,Wood
599406,"LARS 2 1/16"" PANEL GOLD & BLK",2.0625,,12.45,17.9,18.9,Wood
600541,SEVILLA ANT SILVER,3.125,720472146463,20.01,35.22,36.22,Wood
600G,MARQUIS,2,720472103305,16.83,28.28,29.28,Wood
6011,"1 1/2""X1 1/8"" STRETCHER BAR",1.125,720472151696,3.74,6.58,7.58,Wood
6012,"1/2""X1 1/2"" STRETCHER BAR",0.5,,2.4,4.22,5.22,Wood
6013,"2""X1 1/8"" STRETCHER BAR",1.125,720472151719,3.89,6.85,7.85,Wood
6014,"1 1/2""X3/4"" FLIP STRETCHER",1.5,,2.21,3.89,4.89,Wood
603602,KENSINGTON WALNUT BURL,2.1875,720472127356,26.84,45.09,46.09,Wood
603674,CRANBROOK EBONIZED WAL ANGLE,2.125,720472150682,12.14,20.4,21.4,Wood
