ITEM,description,WIDTH,cost,group
B8448L,JALAPENO ALPHA 40X60,40x60,86.13,Matboard
B8450,DENIM BLUE ALPHA 32X40,32x40,35.32,Matboard
B8450L,DENIM BLUE ALPHA 40X60,40x60,86.14,Matboard
B8451,MULBERRY ALPHA 32X40,32x40,35.36,Matboard
B8453,CAYENNE ALPHA 32X40,32x40,35.32,Matboard
B8454,MARIGOLD ALPHA 32X40,32x40,35.34,Matboard
B8455,MAIZE ALPHA 32X40,32x40,35.31,Matboard
B8456,FOG ALPHA 32 X 40,32x40,35.32,Matboard
B8458,SMOKE ALPHA 32 X 40,32x40,35.32,Matboard
B8460,QUAKER GREY ALPHA 32 X 40,32x40,35.31,Matboard
B8461,GUN METAL ALPHA 32 X 40,32x40,35.32,Matboard
B8462,WHEAT ALPHA 32 X 40,32x40,35.32,Matboard
B8462L,WHEAT ALPHA 40X60,40x60,86.13,Matboard
B8463,SPANISH WHITE ALPHA 32 X 40,32x40,35.32,Matboard
B8463L,SPANISH WHITE ALPHAMAT 40X60,40x60,86.13,Matboard
B8464,MATTE WHITE ALPHA 32 X 40,32x40,35.32,Matboard
B8464L,MATTE WHITE ALPHAMAT 40X60,40x60,86.14,Matboard
B8465,IGLOO ALPHA 32 X 40,32x40,35.33,Matboard
B8465L,IGLOO ALPHA 40X60,40x60,86.13,Matboard
B8466,FROST ALPHA 32 X 40,32x40,35.32,Matboard
B8466L,FROST ALPHAMAT  40X60,40x60,86.14,Matboard
B8467,FRENCH WHITE ALPHA 32 X 40,32x40,35.33,Matboard
B8470,ETRUSCAN BRONZE ALPHA  32X40,32x40,35.32,Matboard
B8471,DYNASTY CELADON ALPHA 32X40,32x40,35.32,Matboard
B8473,DISC FLOREN LAPIS ALPHA 32X40,32x40,23.22,Matboard
B8474,PERSIAN SAPPHIRE ALPHA 32X40,32x40,35.32,Matboard
B8475,OLYMPIAN BLUE ALPHA 32 X 40,32x40,35.32,Matboard
B8479,IMPERIAL PLUM ALPHA 32X40,32x40,35.32,Matboard
B8479L,IMPERIAL PLUM ALPHAMT40X60,40x60,69.03,Matboard
B8483,BAROQUE RUBY ALPHA 32X40,32x40,35.31,Matboard
B8484,VENETIAN GARNET ALPHA 32X40,32x40,35.32,Matboard
B848443,ANT.SIENNA ALPHA/SPEC32X40,32x40,62.09,Matboard
B8485,RENAISNCE GLD ALPHA 32X40,32x40,35.32,Matboard
B848512,EMPIRE GOLD ALPHA SPEC 32X40,32x40,62.08,Matboard
B848539,-BRZ MAPLE 32X40 ALPHA,32x40,40.59,Matboard
B8486,ARABIAN WHITE ALPHA 32X40,32x40,35.32,Matboard
B8487,PALOMINO ALPHA 32 X 40,32x40,35.32,Matboard
B8488,SAND DUNE ALPHA 32X40,32x40,35.32,Matboard
B8500,SHELL ALPHA 32 X 40,32x40,35.31,Matboard
B8502,MIMOSA ALPHA 32 X 40,32x40,35.32,Matboard
B8503,CHAMOIS ALPHA 32 X 40,32x40,35.34,Matboard
B8504,BLUE SHADOW ALPHA 32 X 40,32x40,35.32,Matboard
B8505,TEAL GREY ALPHA 32 X 40,32x40,35.32,Matboard
B8505L,TEAL GREY ALPHA 40 X 60,40x60,86.13,Matboard
B8506,TUSCAN BROWN ALPHA 32 X 40,32x40,35.32,Matboard
B8506L,TUSCAN BROWN ALPHA 40X60,40x60,86.14,Matboard
B8509,MALACCA ALPHA 32 X 40,32x40,35.36,Matboard
B8509L,MALACCA ALPHA 40X60,40x60,86.14,Matboard
B8510,ANNAPOLIS BLU ALPHA32X40,32x40,35.32,Matboard
B8511,SEA MIST ALPHA 32 X 40,32x40,35.32,Matboard
B8512,SORREL ALPHA 32 X 40,32x40,35.38,Matboard
B8513,DISCO CELADON ALPHA 32X40,32x40,31.24,Matboard
B8515,DOVER GREY ALPHA 32 X 40,32x40,35.32,Matboard
B8515L,DOVER GRY ALPHA SOLIDS 40X60,40x60,86.14,Matboard
B8517,IVORY BLACK ALPHA 32 X 40,32x40,35.32,Matboard
B8517L,IVORY BLACK ALPHA 40 X 60,40x60,86.29,Matboard
B8518,ASH ALPHA 32 X 40,32x40,35.33,Matboard
B8518L,ASH ALPHAMAT 40X60,40x60,86.14,Matboard
B8519,SNOW FLAKE ALPHA 32 X 40,32x40,35.33,Matboard
B8519L,SNOWFLAKE ALPHA 40 X 60,40x60,86.13,Matboard
B8520,TALC ALPHA 32 X 40,32x40,35.33,Matboard
B8520L,TALC ALPHA 40 X 60,40x60,86.23,Matboard
B8521,FAIRFIELD WHITE ALPHA 32X40,32x40,35.32,Matboard
