item,cost,chop,join,width,description,group
PR2116,4.3,7.52,9.03,1.13,,Wood
PR2121,3.3,6.11,7.33,1.13,,Wood
PR2122,3.3,6.11,7.33,1.13,,Wood
PR2123,3.06,5.65,6.79,1.13,,Wood
PR2128,2.95,5.46,6.55,1.75,,Wood
PR2221,5.18,9.06,10.88,2,,Wood
PR2222,5.18,9.06,10.88,2,,Wood
PR2223,4.94,8.65,10.37,2,,Wood
PR2241,6.48,11.34,13.61,1.63,,Wood
PR2242,6.48,11.34,13.61,1.63,,Wood
PR2243,6.48,11.34,13.61,1.63,,Wood
PR2244,6.48,11.34,13.61,1.63,,Wood
PR2329,6.06,11.36,13.64,3.63,,Wood
PR2341,9.77,16.61,19.93,2.38,,Wood
PR2342,9.77,16.61,19.93,2.38,,Wood
PR2343,9.77,16.61,19.93,2.38,,Wood
PR2344,9.77,16.61,19.93,2.38,,Wood
PR2371,5.59,9.78,11.74,0.75,,Wood
PR2372,5.59,9.78,11.74,0.75,,Wood
PR2373,5.59,9.78,11.74,0.75,,Wood
PR2374,5.59,9.78,11.74,0.75,,Wood
PR2375,5.59,9.78,11.74,0.75,,Wood
PR2376,5.59,9.78,11.74,0.75,,Wood
PR2421,5.3,9.28,11.14,0.75,,Wood
PR2422,5.3,9.28,11.14,0.75,,Wood
PR2441,6.77,11.84,14.2,1.13,,Wood
PR2442,6.77,11.84,14.2,1.13,,Wood
PR2443,6.77,11.84,14.2,1.13,,Wood
PR2444,6.77,11.84,14.2,1.13,,Wood
PR2471,3.41,6.31,7.58,0.88,,Wood
PR2472,3.41,6.31,7.58,0.88,,Wood
PR2473,3.41,6.31,7.58,0.88,,Wood
PR2492,4.65,8.14,9.77,2.5,,Wood
PR2521,7.36,12.88,15.46,1.5,,Wood
PR2541,3.59,6.5,7.8,0.75,,Wood
PR2542,3.59,6.5,7.8,0.75,,Wood
PR2543,3.59,6.5,7.8,0.75,,Wood
PR2551,2.77,5.64,6.78,1.75,,Wood
PR2571,5.53,9.68,11.62,1.75,,Wood
PR2572,5.53,9.68,11.62,1.75,,Wood
PR2573,5.53,9.68,11.62,1.75,,Wood
PR2621,13.83,23.51,28.2,3,,Wood
PR2622,13.83,23.51,28.2,3,,Wood
PR2641,6.24,10.91,13.09,1.63,,Wood
PR2642,6.24,10.91,13.09,1.63,,Wood
PR2643,6.24,10.91,13.09,1.63,,Wood
PR2741,5.3,9.28,11.14,0.88,,Wood
PR2742,5.3,9.28,11.14,0.88,,Wood
PR2743,5.3,9.28,11.14,0.88,,Wood
PR2762,1.81,3.47,4.16,0.5,,Wood
PR2763,2.12,3.98,4.77,0.75,,Wood
PR2764,2.76,5.52,6.62,1.13,,Wood
PR2765,3.41,6.19,7.44,1.5,,Wood
PR2851,1.53,3.43,4.11,0.5,,Wood
PR2852,1.53,3.43,4.11,0.5,,Wood
PR2853,1.53,3.43,4.11,0.5,,Wood
PR2854,1.53,3.43,4.11,0.5,,Wood
PR2934B,2.12,4.25,5.09,0.75,,Wood
PR2934BL,2.3,4.49,5.39,0.75,,Wood
PR3001,4.3,7.52,9.03,1.13,,Wood
PR3002,4.3,7.52,9.03,1.13,,Wood
PR3003,3.48,6.44,7.72,1.13,,Wood
PR3341,5.36,9.37,11.24,1,,Wood
PR3342,5.36,9.37,11.24,1,,Wood
PR3343,5.36,9.37,11.24,1,,Wood
PR3444,6.06,10.6,12.73,3.75,,Wood
PR3541,7.83,13.9,16.69,1.75,,Wood
PR3542,7.83,13.9,16.69,1.75,,Wood
PR3543,7.83,13.9,16.69,1.75,,Wood
PR3574,3.41,6.31,7.58,0.88,,Wood
PR3575,3.41,6.31,7.58,0.88,,Wood
PR3576,3.41,6.31,7.58,0.88,,Wood
PR3577,3.41,6.31,7.58,0.88,,Wood
PR3631,4.3,7.52,9.03,0.75,,Wood
PR3632,4.3,7.52,9.03,0.75,,Wood
PR3731,5.76,10.09,12.1,1,,Wood
PR3732,5.76,10.09,12.1,1,,Wood
PR3816,4.24,7.41,8.9,1.38,,Wood
PR3821,1.85,4.16,4.99,1.13,,Wood
PR3831,7.54,13.19,15.83,1.75,,Wood
PR3832,7.54,13.19,15.83,1.75,,Wood
PR3952,3.94,7.08,8.5,2,,Wood
PR4001,4.59,8.23,9.88,1.25,,Wood
PR4002,4.59,8.23,9.88,1.25,,Wood
PR4022,2.83,5.18,6.22,1.5,,Wood
PR4121,3.18,6.46,7.74,1.13,,Wood
PR4131,3.71,6.55,7.85,0.88,,Wood
PR4132,3.71,6.55,7.85,0.88,,Wood
PR4133,3.71,6.55,7.85,0.88,,Wood
PR4145,4.3,7.52,9.03,0.75,,Wood
PR4151,3.76,6.59,7.91,0.75,,Wood
PR4152,3.76,6.59,7.91,0.75,,Wood
PR4153,3.76,6.59,7.91,0.75,,Wood
PR4154,3.76,6.59,7.91,0.75,,Wood
PR4155,3.76,6.59,7.91,0.75,,Wood
PR4171,4.94,8.65,10.37,0.75,,Wood
PR4172,4.94,8.65,10.37,0.75,,Wood
PR4173,4.94,8.65,10.37,0.75,,Wood
PR4174,4.94,8.65,10.37,0.75,,Wood
PR4191,5.83,10.21,12.25,0.75,,Wood
PR4192,5.83,10.21,12.25,0.75,,Wood
PR4221,4.57,7.99,9.58,2,,Wood
PR4231,6.41,11.22,13.46,1.75,,Wood
PR4232,6.41,11.22,13.46,1.75,,Wood
PR4233,6.41,11.22,13.46,0.75,,Wood
PR4245,4.3,7.63,9.16,0.75,,Wood
PR4301,2.95,5.9,7.07,1.25,,Wood
PR4302,2.95,5.9,7.07,1.25,,Wood
PR4322,8.83,15.46,18.55,3.25,,Wood
PR4331,10.07,17.12,20.54,2.75,,Wood
PR4332,10.07,17.12,20.54,2.75,,Wood
PR4333,10.07,17.12,20.54,2.75,,Wood
PR4401,4,6.96,8.36,2,,Wood
PR4402,4,6.96,8.36,2,,Wood
PR4441,7.01,12.27,14.72,1.75,,Wood
PR4442,7.01,12.27,14.72,1.75,,Wood
PR4443,7.01,12.27,14.72,1.75,,Wood
PR4445,5.3,9.28,11.14,0.75,,Wood
PR4446,2.54,5.09,6.12,0.5,,Wood
PR4447,2.54,5.09,6.12,0.5,,Wood
PR4448,2.54,5.09,6.12,0.5,,Wood
PR4452,6.12,10.7,12.85,1.75,,Wood
PR4453,6.12,10.7,12.85,1.75,,Wood
PR4545,5.3,9.28,11.14,0.75,,Wood
PR4546,3.87,7.16,8.59,0.75,,Wood
PR4547,3.87,7.16,8.59,0.75,,Wood
PR4548,3.87,7.16,8.59,0.75,,Wood
PR4621,4.18,7.32,8.78,1.25,,Wood
PR4622,4.18,7.32,8.78,1.25,,Wood
PR4623,4,7.01,8.4,1.25,,Wood
PR4652,4.12,7.22,8.66,1.25,,Wood
PR4653,4.12,7.22,8.66,1.25,,Wood
PR4721,6.53,11.44,13.73,2,,Wood
PR4722,6.53,11.44,13.73,2,,Wood
PR4731,3.48,6.6,7.92,0.88,,Wood
PR4732,3.48,6.6,7.92,0.88,,Wood
PR4733,3.48,6.6,7.92,0.88,,Wood
PR4741,3.06,6.22,7.46,2,,Wood
PR4745,3.06,6.22,7.46,2,,Wood
PR4752,4.59,8.03,9.64,1.75,,Wood
PR4753,4.59,8.03,9.64,1.75,,Wood
PR4821,10.89,18.51,22.22,3.25,,Wood
PR4822,10.89,18.51,22.22,3.25,,Wood
PR4823,9.94,16.91,20.28,3.25,,Wood
PR4831,4.41,7.72,9.26,1.5,,Wood
PR4832,4.41,7.72,9.26,1.5,,Wood
PR4833,4.41,7.72,9.26,1.5,,Wood
PR4852,7.06,12.36,14.84,2.63,,Wood
PR4853,7.06,12.36,14.84,2.63,,Wood
PR4908,1.83,3.98,4.77,0.62,,Wood
PR4909,1.83,3.98,4.77,0.62,,Wood
PR4912,2.23,4.28,5.14,0.75,,Wood
PR4913,2.23,4.28,5.14,0.75,,Wood
PR4915,2,3.89,4.68,0.88,,Wood
PR4916,2,3.89,4.68,0.75,,Wood
PR4917,2,3.89,4.68,0.75,,Wood
PR4918,3.12,5.78,6.93,0.75,,Wood
PR4920,3.12,5.78,6.93,0.75,,Wood
PR4921,3.41,6.75,8.11,1.88,,Wood
PR4925,2.71,5.14,6.16,0.63,,Wood
PR4926,2.71,5.14,6.16,0.63,,Wood
PR4928,3.76,6.77,8.12,1.25,,Wood
PR4930,2.76,5.38,6.46,1.25,,Wood
PR4935,3.88,6.99,8.38,1,,Wood
PR4937,3.88,6.99,8.38,1,,Wood
PR5106,1.62,3.98,4.77,1.25,,Wood
PR5171,5.18,9.06,10.88,1.63,,Wood
PR5172,5.18,9.06,10.88,1.63,,Wood
PR5173,5.18,9.06,10.88,1.63,,Wood
PR5252,3.12,6.09,7.32,1.38,,Wood
PR5253,3.12,6.09,7.32,1.38,,Wood
PR5271,8.06,14.11,16.94,2.63,,Wood
PR5272,8.06,14.11,16.94,2.63,,Wood
PR5273,8.06,14.11,16.94,2.63,,Wood
PR5321,5,8.76,10.51,1.5,,Wood
PR5411,8.42,14.73,17.68,2.75,,Wood
PR5412,8.42,14.73,17.68,2.75,,Wood
PR5413,8.42,14.73,17.68,2.75,,Wood
PR5421,6.77,11.84,14.2,2.25,,Wood
PR5434,8.42,14.73,17.68,1.75,,Wood
PR5435,8.42,14.73,17.68,1.75,,Wood
PR5436,8.42,14.73,17.68,1.75,,Wood
PR5437,8.42,14.73,17.68,1.75,,Wood
PR5452,4.71,8.24,9.89,2.25,,Wood
PR5453,4.71,8.24,9.89,2.25,,Wood
PR5541,3,5.71,6.85,1.13,,Wood
PR5542,3,5.71,6.85,1.13,,Wood
PR5543,3,5.71,6.85,1.13,,Wood
PR5614,2.25,4.71,5.65,1,,Wood
PR5621,3.94,7.1,8.51,1.5,,Wood
PR5641,4.36,7.62,9.15,2.13,,Wood
PR5642,4.36,7.62,9.15,2.13,,Wood
PR5643,4.36,7.62,9.15,2.13,,Wood
PR5751,10.42,18.23,21.87,2.25,,Wood
PR5753,10.42,18.23,21.87,2.25,,Wood
PR5812,5.49,10.27,12.33,2.38,,Wood
PR5813,5.49,10.27,12.33,2.38,,Wood
PR5814,5.49,10.27,12.33,2.38,,Wood
PR5829,3.76,6.96,8.36,1.25,,Wood
PR5851,3.12,5.78,6.93,1.25,,Wood
PR5852,3.12,5.78,6.93,1.25,,Wood
PR5853,3.12,5.78,6.93,1.25,,Wood
PR5911,7.36,12.88,15.46,1.13,,Wood
PR5912,7.36,12.88,15.46,1.13,,Wood
PR5913,7.36,12.88,15.46,1.13,,Wood
PR5914,7.36,12.88,15.46,1.13,,Wood
PR5915,7.36,12.88,15.46,1.13,,Wood
PR5916,7.36,12.88,15.46,1.13,,Wood
PR5951,4.88,8.55,10.25,2.25,,Wood
PR5952,4.88,8.55,10.25,2.25,,Wood
PR5953,4.88,8.55,10.25,2.25,,Wood
PR6001,8.77,15.35,18.41,2.25,,Wood
PR6002,8.77,15.35,18.41,2.25,,Wood
PR6141,3.65,6.75,8.11,0.75,,Wood
PR6142,3.65,6.75,8.11,0.75,,Wood
PR6143,3.65,6.75,8.11,0.75,,Wood
PR6241,5.48,9.59,11.51,1,,Wood
PR6242,5.48,9.59,11.51,1,,Wood
PR6243,5.48,9.59,11.51,1,,Wood
PR6381,3.53,6.53,7.84,0.75,,Wood
PR6382,3.53,6.53,7.84,0.75,,Wood
PR6383,3.53,6.53,7.84,0.75,,Wood
PR6384,3.53,6.53,7.84,0.75,,Wood
PR6451,6.18,10.82,12.99,1.63,,Wood
PR6452,6.18,10.82,12.99,1.63,,Wood
PR6453,6.18,10.82,12.99,1.63,,Wood
PR6471,7.01,12.27,14.72,1.13,,Wood
PR6511,4.12,7.63,9.16,1.38,,Wood
PR6515,4.12,7.63,9.16,1.38,,Wood
PR6516,4.12,7.63,9.16,1.38,,Wood
PR6517,4.12,7.63,9.16,1.38,,Wood
PR6518,4.12,7.63,9.16,1.38,,Wood
PR6531,7.54,13.19,15.83,1.5,,Wood
PR6532,7.54,13.19,15.83,1.5,,Wood
PR6551,9.59,16.79,20.14,2.75,,Wood
PR6552,9.59,16.79,20.14,2.75,,Wood
PR6553,9.59,16.79,20.14,2.75,,Wood
PR6631,13.12,22.31,26.77,2.5,,Wood
PR6632,13.12,22.31,26.77,2.5,,Wood
PR6721,3.17,5.64,6.78,1.75,,Wood
PR6722,3.17,5.64,6.78,1.75,,Wood
PR6751,5.18,9.06,10.88,0.75,,Wood
PR6751CG,5.18,9.06,10.88,0.75,,Wood
PR6752,5.18,9.06,10.88,0.75,,Wood
PR6752CG,5.18,9.06,10.88,0.75,,Wood
PR6773,3.39,5.93,2.71,1.38,,Wood
PR6774,3.39,5.93,2.71,1.38,,Wood
PR6775,3.39,5.93,2.71,1.38,,Wood
PR6776,3.39,5.93,2.71,1.38,,Wood
PR6777,3.39,5.93,2.71,1.38,,Wood
