item,cost,chop,join,width,description,group
328-618,4.26,7.02,8.42,0.63,"5/8"" Oxford Silver Black",Wood
329-210,6.47,10.35,12.42,,"9/16"" Silver Leaf Art Deco",Wood
329-211,6.47,10.35,12.42,,"9/16"" Gold Leaf Art Deco",Wood
329-212,5.54,8.86,10.63,,"9/16"" Black w/Coffee Art Deco",Wood
330-101,6.77,11.15,13.38,0.75,"13/16"" Linea Silver",Wood
330-102,6.77,11.15,13.38,0.75,"13/16"" Linea Dark Steel",Wood
330-103,6.77,11.15,13.38,0.75,"13/16"" Linea Light Bronze",Wood
331-101,8.17,13.08,15.7,1.38,"1-3/8"" Silver Linea",Wood
331-102,8.17,13.08,15.7,1.38,"1-3/8"" Linea Dark Steel",Wood
331-103,8.17,13.08,15.7,1.38,"1-3/8"" Light Bronze Linea",Wood
339-5114,13.95,22.32,26.78,,"3/8"" Gold Lattice Floater R 1-5/8""",Wood
339-5115,13.95,22.32,26.78,,"3/8"" Silver Lattice Floater R 1-5/8""",Wood
339-5116,13.95,22.32,26.78,,"3/8"" Bronze Lattice Floater r 1-5/8""",Wood
513-14,7.36,11.77,14.12,0.63,"5/8"" Fenice Silver",Wood
513-15,7.36,11.77,14.12,0.63,"5/8"" Fenice Gold",Wood
513-308,5.85,9.36,11.23,0.63,"5/8"" Fenice Black",Wood
513-309,5.85,9.36,11.23,0.63,"<GG> 5/8"" Fenice White",Wood
524-245,8.39,13.42,16.1,,"5/8"" Gold Leaf Panache",Wood
524-246,8.39,13.42,16.1,,"5/8"" Silver Leaf Panache",Wood
524-545,8.39,13.42,16.1,,"5/8"" Burnt Sienna w/Gold Panache",Wood
524-547,8.39,13.42,16.1,,"5/8"" Black Coffee w/Gold Panache",Wood
524-548,8.39,13.42,16.1,,"5/8"" Black Coffee w/Silver Panache",Wood
524-549,8.39,13.42,16.1,,"5/8"" Creme w/Gold Panache",Wood
524-550,8.39,13.42,16.1,,"5/8"" Creme w/Silver Panache",Wood
524-551,8.39,13.42,16.1,,"5/8"" Honey Latte w/Gold Panache",Wood
524-552,8.39,13.42,16.1,,"5/8"" Deep Ocean w/Gold Panache",Wood
524-553,8.39,13.42,16.1,,"5/8"" Lily Pad w/Gold Panache",Wood
524-554,8.39,13.42,16.1,,"5/8"" Ruby Unheated w/Gold Panache",Wood
592-01,7.19,11.51,13.81,1,"1"" Bianco White Shimmer",Wood
592-02,7.19,11.51,13.81,1,"1"" Cipria Pink Shimmer",Wood
592-03,7.19,11.51,13.81,1,"1"" Platinum Shimmer",Wood
592-04,7.19,11.51,13.81,1,"1"" Black Shimmer",Wood
592-05,7.19,11.51,13.81,1,"1"" Black Shimmer",Wood
742-436,14.28,22.85,27.42,2.88,"2-7/8"" Icona Gold Leaf",Wood
742-437,14.28,22.85,27.42,2.88,"2-7/8"" Icona Silver Leaf",Wood
750-10,17.99,28.78,34.54,2.13,"2-1/8"" Sterling Silver Rialto",Wood
750-11,17.99,28.78,34.54,2.13,"2-1/8"" Yellow Gold Rialto",Wood
750-308,14.85,23.76,28.51,2.13,"2-1/8"" Black Rialto",Wood
751-10,12.09,19.34,23.21,1.38,"1-3/8"" Sterling Silver Rialto",Wood
751-11,12.09,19.34,23.21,1.38,"1-3/8"" Yellow Gold Rialto",Wood
751-308,9.87,15.79,18.95,1.38,"2-1/8"" Black Rialto",Wood
757-10,13.26,21.22,25.46,,"1-5/16"" Silver Leaf Fenice",Wood
757-11,13.26,21.22,25.46,,"1-5/16"" Gold Leaf Fenice",Wood
757-14,13.26,21.22,25.46,,"1-5/16"" Antique Silver Leaf Fenice",Wood
757-15,13.26,21.22,25.46,,"1-5/16"" Antique Gold Leaf Fenice",Wood
757-307,11.29,18.06,21.67,,"1-5/16"" Black w/Gold Lip Fenice",Wood
757-308,10.54,16.86,20.23,,"1-5/16"" Black Fenice",Wood
757-962,20.31,32.49,38.99,,"1-5/16"" Pastel Blue Acid Wash Queen",Wood
757-964,20.31,32.49,38.99,,"1-5/16"" Vintage Green Acid Wash Queen",Wood
757-965,20.31,32.49,38.99,,"1-5/16"" Weathered Teal Green Acid Wash Queen",Wood
757-967,20.31,32.49,38.99,,"1-5/16"" Peach Pink Acid Wash Queen",Wood
758-10,18.51,29.62,35.54,2.31,"2-5/16"" Silver Leaf Fenice",Wood
758-11,18.51,29.62,35.54,2.31,"2-5/16"" Gold Leaf Fenice",Wood
758-307,18.84,30.14,36.17,,"2-5/16"" Black w/Gold Fenice",Wood
758-308,14.65,23.44,28.13,2.31,"2-5/16"" Black Fenice",Wood
759-10,10.16,16.26,19.51,1.31,"1-5/16"" Silver Leaf Fenice",Wood
759-11,10.16,16.26,19.51,1.31,"1-5/16"" Gold Leaf Fenice",Wood
759-14,10.16,16.26,19.51,1.31,"1-5/16"" Antique Silver Leaf Fenice",Wood
759-15,10.16,16.26,19.51,1.31,"1-5/16"" Antique Gold Leaf Fenice",Wood
759-1635,12.76,20.42,24.5,,"1-3/8"" Midnight Blue Lacquer",Wood
759-1636,12.76,20.42,24.5,,"1-3/8"" Spruce Green Lacquer",Wood
759-1637,12.76,20.42,24.5,,"1-3/8"" Burnt Orange Lacquer",Wood
759-1639,12.76,20.42,24.5,,"1-3/8"" Bird Blue Grey Lacquer",Wood
759-1646,12.76,20.42,24.5,,"1-3/8"" Candy Apple Red Lacquer",Wood
759-1648,12.76,20.42,24.5,,"1-3/8"" Black Laqcuer",Wood
759-1650,12.76,20.42,24.5,,"1-3/8"" White Lacquer",Wood
759-1651,12.76,20.42,24.5,,"1-3/8"" Royal Purple Lacquer",Wood
759-1654,12.76,20.42,24.5,,"1-3/8"" Dusty Mauve Lacquer",Wood
759-1655,12.76,20.42,24.5,,"1-3/8"" Mustard Yellow Lacquer",Wood
759-1656,12.76,20.42,24.5,,"1-3/8"" Blood Red Lacquer",Wood
759-1658,12.76,20.42,24.5,,"1-3/8"" Mossy Green Lacquer",Wood
759-1659,12.76,20.42,24.5,,"1-3/8"" Teal Green Lacquer",Wood
759-1660,12.76,20.42,24.5,,"1-3/8"" Aegean Blue Lacquer",Wood
759-307,10.24,16.38,19.66,,"1-5/16"" Black w/Gold Lip Fenice",Wood
759-308,8.06,12.9,15.48,1.31,"1-5/16"" Black Fenice",Wood
760-10,8.62,13.79,16.55,1.06,"1-1/16"" Silver Leaf Fenice",Wood
760-11,8.62,13.79,16.55,1.06,"1-1/16"" Gold Leaf Fenice",Wood
761-10,9.43,15.09,18.11,1.19,"1-3/16"" Silver Leaf Fenice",Wood
761-11,9.43,15.09,18.11,1.19,"1-3/16"" Gold Leaf Fenice",Wood
761-588,9.01,14.41,17.29,1.19,"1-3/16"" Black Fenice",Wood
761-589,9.43,15.09,18.11,1.19,"1-3/16"" Black Gold Lip Fenice",Wood
761-590,9.43,15.09,18.11,1.19,"1-3/16"" Black Silver Lip Fenice",Wood
766-10,16.86,26.98,32.38,2.06,"2-1/16"" Silver Leaf Doge",Wood
766-11,16.86,26.98,32.38,2.06,"2-1/16"" Gold Leaf Doge",Wood
767-10,12.05,19.27,23.12,1.44,"1-7/16"" Silver Leaf Doge",Wood
767-11,12.05,19.27,23.12,1.44,"1-7/16"" Gold Leaf Doge",Wood
771-210,10.51,16.82,20.18,1,"1"" Silver Leaf Bamboo",Wood
771-211,10.51,16.82,20.18,1,"1"" Gold Leaf Bamboo",Wood
771-212,8.7,13.92,16.7,1,"1"" Black Bamboo",Wood
771-213,8.7,13.92,16.7,1,"1"" Naturale Bamboo",Wood
771-214,8.7,13.92,16.7,1,"1"" White Bamboo",Wood
772-210,5.92,9.68,11.62,0.5,"1/2"" Silver Leaf Bamboo",Wood
772-211,5.92,9.68,11.62,0.5,"1/2"" Gold Leaf Bamboo",Wood
773-210,9.32,14.93,17.92,0.75,"3/4"" Silver Leaf Bamboo",Wood
773-211,9.32,14.93,17.92,0.75,"3/4"" Gold Leaf Bamboo",Wood
773-212,7.43,11.88,14.26,0.75,"3/4"" Black Bamboo",Wood
773-213,7.43,11.88,14.26,0.75,"3/4"" Naturale Bamboo",Wood
773-214,7.43,11.88,14.26,0.75,"3/4"" White Bamboo",Wood
773-314,9.31,14.89,17.87,,"3/4"" Red Clay Bamboo",Wood
773-315,9.31,14.89,17.87,,"3/4"" Terra Cotta Bamboo",Wood
773-316,9.31,14.89,17.87,,"3/4"" Moss Green Bamboo",Wood
773-317,9.31,14.89,17.87,,"3/4"" Verdigris Bamboo",Wood
780-464,12.05,19.28,23.14,,"3/4"" Gold Leaf Walnut",Wood
780-465,12.05,19.28,23.14,,"3/4"" Silver Leaf Walnut",Wood
805-324,11.32,17.2,20.64,1.75,"1-3/4"" Hammered Gold w/ Wash",Wood
805-325,11.32,17.2,20.64,1.75,"1-3/4"" Hammered Sterling Silver",Wood
805-328,11.32,17.2,20.64,1.75,"1-3/4"" Hammered Bronze",Wood
805-329,11.32,17.2,20.64,1.75,"1-3/4"" Hammered White w/ Silver",Wood
821-133,18.87,28.29,33.95,1.75,"1-3/4"" Gold",Wood
821-134,18.87,28.29,33.95,1.75,"1-3/4"" Silver",Wood
821-137,18.87,28.29,33.95,1.75,"1-3/4"" Esprsso w/Silver Lip",Wood
826-38,12.09,19.34,23.21,2,"2"" Antique Black w/Gold",Wood
826-39,12.09,19.34,23.21,2,"2"" Egg Custard w/Gold",Wood
826-40,12.09,19.34,23.21,2,"2"" Cappucino w/Gold",Wood
826-42,12.09,19.34,23.21,2,"2"" Gold",Wood
826-43,12.09,19.34,23.21,2,"2"" Silver",Wood
826-48,12.09,19.34,23.21,2,"2"" Antique Black w/Silver",Wood
850-829,6.99,11.18,13.42,0.75,"3/4"" White w/Gold Step Lip",Wood
850-880,7.78,12.44,14.93,,"13/16"" Hammered Gold Step",Wood
850-881,7.78,12.44,14.93,,"13/16"" Hammered Silver Step",Wood
