ITEM,description,fortybysixty,UPC,cost,group
C89822,OLD(M5931L) SIERRA OLIVE 40X60,40x60,93924150609,32.03,Matboard
C89826,OLD(M5943L) MOCHA GREEN 40X60,40x60,93924150616,32.03,Matboard
C89827,OLD(M5909L) FLAG BLUE 40X60,40x60,93924150913,32.03,Matboard
C8983,CRES SADDLE TAN 40X60,40x60,93924204944,22.19,Matboard
C89830,OLD(M5937L) BLUE NIGHT 40X60,40x60,93924150920,32.03,Matboard
C89833,OLD(M5951L) ORANGE ADE 40X600,40x60,93924150494,32.03,Matboard
C89834,OLD(M1974L) RUSSET 40X60,40x60,93924150647,32.03,Matboard
C89837,OLD(M5901L) ALL AMERICAN RED,40x60,93924150500,32.03,Matboard
C89838,OLD(M1921L) BRICK 40X60,40x60,93924150531,32.03,Matboard
C89839,OLD(M5904L) CABERNET 40X60,40x60,93924150548,32.11,Matboard
C89840,OLD(M1965L) PLUM 40X60,40x60,93924150562,32.03,Matboard
C89846,OLD(M5939L) DARK SHALE 40X60,40x60,93924150975,32.03,Matboard
C89848,OLD(M1953L) JET BLACK 40X60,40x60,93924150999,32.03,Matboard
C89849,OLD(M2150L) ANTWERPEN 40X60,40x60,93924151309,37.59,Matboard
C89850,OLD(M1998L) SILVER 40X60,40x60,93924151200,37.59,Matboard
C89851,OLD(M19102L) GOLD NUGGET 40X60,40x60,93924151262,37.59,Matboard
C89853,OLD(M2151L) BRUXELLES 40X60,40x60,93924151170,37.59,Matboard
C89854,OLD(M1996L) ROSE 40X60,40x60,93924151286,37.59,Matboard
C89855,OLD(M19100L) SPANISH GOLD 40X6,40x60,93924151316,37.59,Matboard
C89861,OLD(M2143L) YORK 40X60,40x60,93924150777,32.03,Matboard
C89866,OLD(M2138L) PLYMOUTH 40X60,40x60,93924194115,32.03,Matboard
C8987,CRES PALM BEACH WHITE 40X60,40x60,93924204968,22.19,Matboard
C89870,SILVER STAR 40X60,40x60,93924194122,37.59,Matboard
C89874,40X60 SEL Red Line,40x60,93924185496,32.03,Matboard
C89876,MANDARINE ORANGE 40X60,40x60,93924185502,32.03,Matboard
C89877,MIDNIGHT GREEN 40X60,40x60,93924193903,32.03,Matboard
C8988,CRES WILLIAMSBURG GREEN 40X60,40x60,93924204975,22.19,Matboard
C89881,REAL TEAL 40X60,40x60,93924193910,32.03,Matboard
C89882,CORNFLOWER 40X60,40x60,93924176692,32.03,Matboard
C89886,DARK PURPLE 40X60,40x60,93924169755,32.03,Matboard
C89889,DEEP BLUE 40X60,40x60,93924169762,32.03,Matboard
C89892,DEEP ORANGE 40X60,40x60,93924169779,32.03,Matboard
C89894,GOLDEN 40X60,40x60,93924169786,32.03,Matboard
C89899,RED HOT 40X60,40x60,93924169793,32.03,Matboard
C89901,OLD(M2322L) CHALK 40X60,40x60,93924151323,41.96,Matboard
C89904,OLD(M2309L) PURE WHITE 40X60,40x60,93924151354,41.97,Matboard
C8994,CHAMOIS GOLD 40X60,40x60,93924231902,22.19,Matboard
C89944,OLD(M2353L) JET BLACK 40X60,40x60,93924152269,42.11,Matboard
C89948,SELECT ULTIBLACK BLACK BELT 40,32x40,93924170010,41.84,Matboard
C900,RED 32x40,32x40,93924100017,10.23,Matboard
C902,YELLOW 32X40,32x40,93924200038,10.23,Matboard
C907,WINE 32X40,32x40,93924200083,10.23,Matboard
C91545,LIGHT UMBRIA 32X40,32x40,,16.37,Matboard
C91604,WHEAT 32x40,32x40,,16.37,Matboard
C91650,WARM WHITE 32X40,32x40,,16.37,Matboard
C91672,BARELY PINK 32 X 40,32x40,,16.37,Matboard
C91688,WHISPER WHITE 32 X 40,32x40,,16.37,Matboard
C918,VERY WHITE 32X40,32x40,93924200182,10.23,Matboard
C919,IVY GREEN 32X40,32x40,93924200199,10.23,Matboard
C921A,32X40 DEC Smooth Black,32x40,93924200397,10.23,Matboard
C924,DARK GREY 32X40,32x40,93924100420,10.23,Matboard
C935,COPLEY GREY 32X40,32x40,93924200458,10.23,Matboard
C939,DARK GREEN 32X40,32x40,93924200465,10.26,Matboard
C948,SAND 32X40,32x40,93924200472,10.23,Matboard
C9500,SELECT WHITE GLOVE 32X40,32x40,93924137167,15.24,Matboard
C9501,SELECT WHITE COLLAR 32X40,32x40,93924137174,15.26,Matboard
C9502,SELECT WHITE SALE 32X40,32x40,93924137181,15.26,Matboard
C9503,SELECT WHITE HOT 32X40,32x40,93924137198,15.26,Matboard
C9504,SELECT WHITE LIE 32X40,32x40,93924137204,15.26,Matboard
C9505,SELECT WHITE WASH 32X40,32x40,93924137211,15.26,Matboard
C9506,SELECT EGG WHITE 32X40,32x40,93924137228,15.26,Matboard
C9507,SELECT WHITE ELEPHANT 32X40,32x40,93924137235,15.26,Matboard
C9508,SELECT WHITE SANDS 32X40,32x40,93924137242,15.2,Matboard
C9509,SELECT HALF & HALF 32X40,32x40,93924137259,15.26,Matboard
C9510,SELECT FROTH 32X40,32x40,93924137266,15.26,Matboard
C9511,SELECT FOSSIL 32X40,32x40,93924137273,15.26,Matboard
C9512,SELECT MUMMY 32X40,32x40,93924137280,15.26,Matboard
C9513,*SELECT SANDTRAP 32X40,32x40,93924137297,15.26,Matboard
C9514,SELECT TOASTY 32X40,32x40,93924137303,15.26,Matboard
C9515,SELECT WET SAND 32X40,32x40,93924137310,15.26,Matboard
C9516,SELECT TUSK 32X40,32x40,93924137327,15.26,Matboard
C9518,SELECT SUMMER 32X40,32x40,93924137341,15.26,Matboard
C9519,SELECT CURRY 32X40,32x40,93924137358,15.26,Matboard
C9520,SELECT HAYSTACK 32X40,32x40,93924137365,15.26,Matboard
C9521,SELECT GOLD RUSH 32X40,32x40,93924137372,15.26,Matboard
C9522,SELECT OLEO 32X40,32x40,93924137389,15.26,Matboard
C9523,SELECT OMELET 32X40,32x40,93924137396,15.26,Matboard
C9525,SELECT SAGE ADVISE 32X40,32x40,93924137419,15.26,Matboard
C9526,*SELECT PICKLE 32X40,32x40,93924137426,15.26,Matboard
C9527,SELECT WISE GREEN 32X40,32x40,93924137433,15.26,Matboard
C9530,SELECT HEDGEHOG 32X40,32x40,93924137464,15.26,Matboard
C9531,SELECT SPINACH 32X40,32x40,93924137471,15.26,Matboard
C9533,SELECT BONSAI 32X40,32x40,93924137495,15.26,Matboard
C9535,SELECT TURF 32X40,32x40,93924137518,15.26,Matboard
C9536,SELECT FROND 32X40,32x40,93924137525,15.26,Matboard
C9537,*SELECT ENVY 32X40,32x40,93924137532,15.26,Matboard
C9538,SELECT DEEP WOODS 32X40,32x40,93924137549,15.26,Matboard
C9539,SELECT RIPTIDE 32X40,32x40,93924137556,15.26,Matboard
C9542,SELECT BLUE MONDAY 32X40,32x40,93924137587,15.26,Matboard
C9544,SELECT CHICAGO BLUES 32X40,32x40,93924137600,15.26,Matboard
