item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
837G,1 1/4 FLAT BURL WITH GOLD LIP,4.90,8.55,10.69, 1/4 ,1  1/4 ,Wood
844Q,2 1/8 REVERSE BURL WITH BLACK,12.17,21.90,27.38,13/16,2  1/8 ,Wood
847M,1 1/4 SCOOP BURL WITH BLACK,9.19,15.89,19.87, 7/16,1  1/4 ,Wood
974E,5/8 BURL TOP W/BLACK BACK,4.90,8.55,10.69, 9/16, 5/8 ,Wood
975B,1 HALF ROUND WEATHERED,1.96,3.43,4.29, 3/8 ,1,Wood
1047D,"1"" MAHOGANY VENEER WITH BLACK",2.92,5.41,6.76, 3/8 ,1,Wood
1118F,7/8 FLAT BURL W/GOLD LIP,3.89,7.19,8.98, 5/16, 7/8 ,Wood
1222B,3/4 HONEY BUDGET BURL,3.39,6.26,7.83, 1/2 , 3/4 ,Wood
1223B,3/4 WALNUT BUDGET BURL,3.39,6.26,7.83, 1/2 , 3/4 ,Wood
1224C,1 1/8 HONEY BUDGET BURL,4.03,7.46,9.33, 9/16,1  1/8 ,Wood
1225C,1 1/8 WALNUT BUDGET BURL,4.03,7.46,9.33, 9/16,1  1/8 ,Wood
1226D,1 1/4 HONEY BUDGET BURL,4.35,7.70,9.63, 9/16,1  1/4 ,Wood
1227D,1 1/4 WALNUT BUDGET BURL,4.35,7.70,9.63, 9/16,1  1/4 ,Wood
1228H,2 1/8 HONEY BUDGET BURL,8.29,14.80,18.50, 3/4 ,2  1/8 ,Wood
1229H,2 1/8 WALNUT BUDGET BURL,8.29,14.80,18.50, 3/4 ,2  1/8 ,Wood
1233A,3/4 CHERRY STAIN,2.53,4.55,5.69, 3/8 , 3/4 ,Wood
1239C,"1"" BLACK DIPLOMA FRAME",2.47,4.44,5.55, 5/16,1,Wood
1245C,3/4 BLACK & GOLD DIPLOMA FRAME,2.14,3.92,5.01, 5/16, 3/4 ,Wood
1248A,3/4 DEEP WALNUT STAIN,2.53,4.55,5.69, 3/8 , 3/4 ,Wood
