item,Description,cost,Chop,Join,rabbet fraction,size fraction,group
310-710,3/8 SILVER METALLIC FLOATER,6.43,11.57,14.46,1 3/4, 3/8 ,Wood
315-15,1 3/4 FLAT BLACK W/BEVELED LIP,2.98,5.36,6.70,5/8,1  3/4 ,Wood
315-20,2 3/8 SILVER ACANTHUS CARVE,7.03,12.65,15.81,3/8,2  3/8 ,Wood
315-55,1 1/2 SLOP SILVER W/BLK SCRATC,4.09,7.36,9.20,5/8,1  1/2 ,Wood
315-60,1 1/2 SLOP GOLD W/BLACK,4.16,7.49,9.36, 5/8 ,1  1/2 ,Wood
325-25,7/8 SHADOW BOX GOLD,4.11,7.40,9.25,1  5/8 , 7/8 ,Wood
350-50,3 1/4 FLAT GOLD RAISED EDGE,9.99,17.98,22.48,1,3  1/4 ,Wood
350-55,1 3/4 REVERSE BLACK W/BEVELED,2.90,5.22,6.53,5/8,1  3/4 ,Wood
390-45,1  FLAT BLACK SHADOW BOX,3.12,5.62,7.03,1,1,Wood
390-95,1 5/8 BLACK SLOPE,2.60,4.68,5.85,3/8,1  5/8 ,Wood
395-20,2 1/2 GOLD W/FLAT PANEL,6.77,12.19,15.24, 7/8 ,2  1/2 ,Wood
435-95,1 ROUNDED BLACK (2420-25),1.93,3.47,4.34, 3/8 ,1,Wood
480-10,1 1/4 REVERSE BLACK,2.14,3.85,4.81, 5/8 ,1  1/4 ,Wood
480-40,2 5/8 SLOPE SLVR W/BLK SCRATCH,8.00,14.40,18.00, 1/2 ,2  5/8 ,Wood
480-50,1 BLACK REVERSE,2.11,3.80,4.75, 1/2 ,1,Wood
755-85,1 1/4 FLAT DARK BROWN COPPER,2.25,4.05,5.06, 5/8 ,1  1/4 ,Wood
805-75,3/8 X 1 1/8  ALL BLACK FLOATER,4.36,7.85,9.81,1  1/8 ,1  1/2 ,Wood
805-80,3/8 X 1 1/8 DEEP WHITE FLOATER,4.36,7.85,9.81,1  1/8 ,1  1/2 ,Wood
805-85,3/8 X1 1/8 ESPRESSO FLOATER,4.36,7.85,9.81,1  1/8 ,1  1/2 ,Wood
805-90,3/8 X 1 1/8 DEEP TEAK FLOATER,4.36,7.85,9.81,1  1/8 ,1  1/2 ,Wood
850-45,2 1/2 REVERSE MAHOGANY W/ROPE,3.97,7.15,8.94, 1/2 ,2  1/2 ,Wood
850-50,2 1/2 REVERSE WALNUT W/ROPE,3.97,7.15,8.94, 1/2 ,2  1/2 ,Wood
875-70,1 1/4 SCOOP WALNUT W/BRWN BEAD,2.46,4.43,5.54, 1/2 ,1  1/4 ,Wood
905-85,1 1/4 ROUND MAHOGANY W/BLK LIP,1.97,3.55,4.44, 3/8 ,1  1/4 ,Wood
920-35,1 1/4 GOLD SCOOP FLAT PANEL,3.26,5.87,7.34, 3/8 ,1  1/4 ,Wood
920-35S,1 1/4 SCOOP SILVER FLAT PANEL,3.26,5.87,7.34, 3/8 ,1  1/4 ,Wood
965-20,1 1/2 REVERSE W/FLAT LIP &,2.50,4.50,5.63, 5/8 ,1  1/2 ,Wood
NC03996,7/8 IVORY,6.66,10.66,13.86, 3/4 , 7/8 ,Wood
NC14603,3/4 FORGED PEWTER CASTILLE,5.53,9.13,12.32, 5/8 , 3/4 ,Wood
NC14604,3/4 FORGED IRON CASTILLE,5.53,9.13,12.32, 5/8 , 3/4 ,Wood
NC14606,3/4 FORGED BRASS CASTILLE,5.53,9.13,12.32, 5/8 , 3/4 ,Wood
NC14609,3/4 FORGED BRONZE CASTILLE,5.53,9.13,12.32, 5/8 , 3/4 ,Wood
NC14703,1 5/16 FORGED PEWTER CASTILLE,7.26,11.98,16.18, 5/8 ,1  5/16,Wood
NC14704,1 5/16 FORGED IRON CASTILLE,7.26,11.98,16.18, 5/8 ,1  5/16,Wood
NC14706,1 5/16 FORGED BRASS CASTILLE,7.26,11.98,16.18, 5/8 ,1  5/16,Wood
NC14709,1 5/16 FORGED BRONZE CASTILLE,7.26,11.98,16.18, 5/8 ,1  5/16,Wood
NC14803,2 1/2  FORGED PEWTER CASTILLE,10.52,17.36,23.43, 7/8 ,2  1/2 ,Wood
NC14804,2 1/2  FORGED IRON CASTILLE,10.52,17.36,23.43, 7/8 ,2  1/2 ,Wood
NC14806,2 1/2  FORGED BRASS CASTILLE,10.52,17.36,23.43, 7/8 ,2  1/2 ,Wood
NC14809,2 1/2  FORGED BRONZE CASTILLE,10.52,17.36,23.43, 7/8 ,2  1/2 ,Wood
NC17104,1 1/2 EBONY DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17105,1 1/2 WHITE OAK DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17109,1 1/2 MAHOGANY DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17113,1 1/2 BLACK WALNUT DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17117,1 1/2 HONEY BIRCH DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17127,1 1/2 HICKORY DUALITA,6.52,11.08,14.40, 3/4 ,1  1/2 ,Wood
NC17403,1 1/2 WINDSWEPT COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17404,1 1/2 GILDED BLACK COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17409,1 1/2 SEPIA COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17481,1 1/2 SAGE COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17491,1 1/2 TERRA COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17492,1 1/2 SLATE COLONNA,6.52,11.08,14.40, 1/2 ,1  1/2 ,Wood
NC17607,1 3/8 SUN NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17609,1 3/8 GREY NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17641,1 3/8 NOIR NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17681,1 3/8 SAGE NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17691,1 3/8 CLAY NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17692,1 3/8 FOG NOUVEAU,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17703,1 3/4 PELICAN RIALTO,6.52,11.08,14.40, 3/4 ,1  3/4 ,Wood
NC17704,1 3/4 CYRPESS RIALTO,6.52,11.08,14.40, 3/4 ,1  3/4 ,Wood
NC17707,1 3/8 SUN DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17709,1 3/4 WALNUT RIALTO,6.52,11.08,14.40, 3/4 ,1  3/4 ,Wood
NC17741,1 3/8 NOIR DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17781,1 3/8 SAGE DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17791,1 3/4 CEDAR RIALTO,6.52,11.08,14.40, 3/4 ,1  3/4 ,Wood
NC17792,1 3/8 FOG DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17793,1 3/8 GREY DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17794,1 3/8 CLAY DECO,8.68,14.76,19.19,11/16,1  3/8 ,Wood
NC17902,1 SILVER MEDINA,4.35,7.61,9.90, 3/4 ,1,Wood
NC17914,1 BLACK GALENA,4.35,7.61,9.90, 3/4 ,1,Wood
NC17915,1 TAJINE,4.35,7.61,9.90, 3/4 ,1,Wood
NC17941,1 GOLD SAFFRON,4.35,7.61,9.90, 3/4 ,1,Wood
NC18002,2 1/4 SILVER MEDINA,8.72,15.26,19.83, 3/4 ,2  1/4 ,Wood
NC18014,2 1/4 BLACK GALENA,8.72,15.26,19.83, 3/4 ,2  1/4 ,Wood
NC18015,2 1/4 TAJINE,8.72,15.26,19.83, 3/4 ,2  1/4 ,Wood
NC18041,2 1/4 GOLD SAFFRON,8.72,15.26,19.83, 3/4 ,2  1/4 ,Wood
NC18102,1 3/8 SILVER MEDINA,6.83,11.94,15.53,1,1  3/8 ,Wood
NC18106,3/4 SLATE ALTAMIRA,3.02,4.83,6.28, 5/8 , 3/4 ,Wood
NC18107,3/4 IVORY ALTAMIRA,3.02,4.83,6.28, 5/8 , 3/4 ,Wood
NC18109,3/4 UMBER ALTAMIRA,3.02,4.83,6.28, 5/8 , 3/4 ,Wood
NC18114,1 3/8 BLACK GALENA,6.83,11.94,15.53,1,1  3/8 ,Wood
NC18115,1 3/8 TAJINE,6.83,11.94,15.53,1,1  3/8 ,Wood
NC18141,1 3/8 GOLD SAFFRON,6.83,11.94,15.53,1,1  3/8 ,Wood
NC18206,1 1/4 SLATE ALTAMIRA,4.51,7.22,9.39, 3/4 ,1  1/4 ,Wood
NC18207,1 1/4 IVORY ALTAMIRA,4.51,7.22,9.39, 3/4 ,1  1/4 ,Wood
NC18209,1 1/4 UMBER ALTAMIRA,4.51,7.22,9.39, 3/4 ,1  1/4 ,Wood
NC18302,3/4 MEDINA SILVER MARRAKESH,3.55,6.21,8.07, 1/2 , 3/4 ,Wood
NC18314,3/4 GALENA BLACK MARRAKESH,3.55,6.21,8.07, 1/2 , 3/4 ,Wood
NC18315,3/4 SAFFRON GOLD MARRAKESH,3.55,6.21,8.07, 1/2 , 3/4 ,Wood
NC18341,3/4 TAJINE MARRAKESH,3.55,6.21,8.07, 1/2 , 3/4 ,Wood
NC18402,5/8 MEDINA SILVER MARRAKESH,3.22,5.64,7.33, 1/2 , 5/8 ,Wood
NC18414,5/8 GALENA BLACK MARAKESH,3.22,5.64,7.33, 1/2 , 5/8 ,Wood
NC18415,5/8 SAFFRON GOLD,3.22,5.64,7.33, 1/2 , 5/8 ,Wood
NC18441,5/8 MEDINA TAJINE MARRAKESH,3.22,5.64,7.33, 1/2 , 5/8 ,Wood
NC18502,1 1/4 SILVER,4.99,8.23,10.70, 1/2 ,1  1/4 ,Wood
NC18503,1 1/4 CUBE PEWTER,4.99,8.23,10.70, 1/2 ,1  1/4 ,Wood
NC18504,1 1/4 BLACK,4.99,8.23,10.70, 1/2 ,1  1/4 ,Wood
NC18515,1 1/4 CHAMPAGNE,4.99,8.23,10.70, 1/2 ,1  1/4 ,Wood
NC18562,1 1/4 BRONZE,4.99,8.23,10.70, 1/2 ,1  1/4 ,Wood
NC18602,1 3/8 SILVER SLANT,4.79,7.90,10.27, 5/8 ,1  3/8 ,Wood
NC18603,1 3/8 PEWTER SLANT,4.79,7.90,10.27, 5/8 ,1  3/8 ,Wood
NC18604,1 3/8 BLACK SLANT,4.79,7.90,10.27, 5/8 ,1  3/8 ,Wood
NC18615,1 3/8 CHAMPAGNE SLANT,4.79,7.90,10.27, 5/8 ,1  3/8 ,Wood
NC18662,1 3/8 BRONZE SLANT,4.79,7.90,10.27, 5/8 ,1  3/8 ,Wood
NC18702,1 1/2 SILVER,7.23,11.92,15.50, 3/4 ,1  1/2 ,Wood
NC18703,1 1/2 CUBE PEWTER,7.23,11.92,15.50, 3/4 ,1  1/2 ,Wood
NC18704,1 1/2 BLACK,7.23,11.92,15.50, 3/4 ,1  1/2 ,Wood
NC18715,1 1/2 CHAMPAGNE,7.23,11.92,15.50, 3/4 ,1  1/2 ,Wood
NC18762,1 1/2 BRONZE,7.23,11.92,15.50, 3/4 ,1  1/2 ,Wood
NC18802,2 5/32 SILVER SLANT,7.35,12.13,15.77, 5/8 ,2  5/32,Wood
NC18803,2 5/32 PEWTER SLANT,7.35,12.13,15.77, 5/8 ,2  5/32,Wood
NC18804,2 5/32 BLACK SLANT,7.35,12.13,15.77, 5/8 ,2  5/32,Wood
NC18815,2 5/32 CHAMPAGNE SLANT,7.35,12.13,15.77, 5/8 ,2  5/32,Wood
NC18862,2 5/32 BRONZE SLANT,7.35,12.13,15.77, 5/8 ,2  5/32,Wood
NC19104,3/4 BLACK,3.88,6.78,9.50,1  1/8 , 3/4 ,Wood
NC19123,3/4 DOVER GREY,3.88,6.78,9.50,1  1/8 , 3/4 ,Wood
NC19127,3/4 TAUPE,3.88,6.78,9.50,1  1/8 , 3/4 ,Wood
NC19131,3/4 DRIFTWOOD,3.88,6.78,9.50,1  1/8 , 3/4 ,Wood
NC19192,3/4 BLUE GREY,3.88,6.78,9.50,1  1/8 , 3/4 ,Wood
NC19304,1 3/4 BLACK,5.11,8.95,12.53, 3/4 ,1  3/4 ,Wood
NC19323,1 3/4 DOVER GREY,5.11,8.95,12.53, 3/4 ,1  3/4 ,Wood
NC19327,1 3/4 TAUPE,5.11,8.95,12.53, 3/4 ,1  3/4 ,Wood
NC19331,1 3/4 DRIFTWOOD,5.11,8.95,12.53, 3/4 ,1  3/4 ,Wood
NC19392,1 3/4 BLUE GREY,5.11,8.95,12.53, 3/4 ,1  3/4 ,Wood
NC27215,1 3/16 CHAMPANGE,4.10,6.76,9.12, 5/8 ,1  3/16,Wood
NC27262,1 3/16 BRONZE,4.10,6.76,9.12, 5/8 ,1  3/16,Wood
NC27404,1 3/4 BLACK,4.15,6.85,9.24, 1/2 ,1  3/4 ,Wood
NC27415,1 3/4 CHAMPAGNE,4.15,6.85,9.24, 1/2 ,1  3/4 ,Wood
NC27436,1 3/4 MERCURY,4.15,6.85,9.24, 1/2 ,1  3/4 ,Wood
NC27462,1 3/4 BRONZE,4.15,6.85,9.24, 1/2 ,1  3/4 ,Wood
NC29105,5/8 WALNUT,1.53,2.68,3.48, 1/2 , 5/8 ,Wood
NC29113,5/8 GREY WASH,1.53,2.68,3.48,, 5/8 ,Wood
NC29114,5/8 BLACK ASH,1.53,2.68,3.48, 1/2 , 5/8 ,Wood
NC29116,5/8 WHITE WASH,1.53,2.68,3.48, 1/2 , 5/8 ,Wood
NC29129,5/8 CEDAR,1.53,2.68,3.48, 1/2 , 5/8 ,Wood
NC29175,5/8 HAZELNUT,1.53,2.68,3.48, 1/2 , 5/8 ,Wood
NC29205,3/4 WALNUT,2.42,4.24,5.51,1, 3/4 ,Wood
NC29213,3/4 GREY WASH,2.42,4.24,5.51,1, 3/4 ,Wood
NC29214,3/4 BLACK ASH,2.42,4.24,5.51,1, 3/4 ,Wood
NC29216,3/4 WHITE WASH,2.42,4.24,5.51,1, 3/4 ,Wood
NC29229,3/4 CEDAR,2.42,4.24,5.51,1, 3/4 ,Wood
NC29275,3/4 HAZELNUT,2.42,4.24,5.51,1, 3/4 ,Wood
NC29405,1 1/2 WALNUT,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29413,1 1/2 GREY WASH,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29414,1 1/2 BLACK ASH,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29416,1 1/2 WHITE WASH,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29429,1 1/2 CEDAR,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29475,1 1/2 HAZELNUT,2.62,4.59,5.96, 1/2 ,1  1/2 ,Wood
NC29505,1 11/16 WALNUT,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC29513,1 11/16 GREY WASH,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC29514,1 11/16 BLACK ASH,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC29516,1 11/16 WHITE WASH,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC29529,1 11/16 CEDAR,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC29575,1 11/16 HAZELNUT,3.55,6.21,8.07, 7/8 ,1 11/16,Wood
NC30314,1 3/8 ZEBRAWOOD VENEER,7.24,11.95,15.54,1,1  3/8 ,Wood
NC30324,1 3/8 EBONY VENEER,7.24,11.95,15.54,1,1  3/8 ,Wood
NC31504,1 3/16 MATTE BLACK,5.28,8.44,10.98,1  1/8 ,1  3/16,Wood
NC31549,1 3/16 HAZELNUT,5.28,8.44,10.98,1  1/8 ,1  3/16,Wood
NC31604,1 29/32 MATTE BLACK,6.48,10.37,13.48,13/16,1 29/32,Wood
NC31649,1 29/32 HAZELNUT,6.48,10.37,13.48,69/85,1 29/32,Wood
NC34604,5/8 X1 11/16 DEEP BLACKFLOATER,8.26,13.22,17.19,1 11/16,2,Wood
NC34607,5/8 X1 11/16  ANT WHITEFLOATER,8.26,13.22,17.19,1 11/16,2,Wood
NC34609,5/8 X1 11/16 WALNUT FLOATER,9.12,14.59,18.97,1 11/16,2,Wood
NC34630,5/8 X1 11/16 NATURAL FLOATER,8.26,13.22,17.19,1 11/16, 5/8 ,Wood
NC38109,3/4 EXPRESSO BROWN,4.20,6.94,9.02,1  1/4 , 3/4 ,Wood
NC38309,5/8 ESPRESSO BROWN,3.02,4.98,6.48, 9/16, 5/8 ,Wood
NC38409,1 ESPRESSO BROWN,3.62,5.98,7.77, 9/16,1,Wood
NC38509,1 3/8 ESPRESSO BROWN,4.35,7.18,9.33, 5/8 ,1  3/8 ,Wood
NC40304,3/4 CAST IRON,4.24,7.42,10.02, 5/8 , 3/4 ,Wood
NC40362,3/4 OILED BRONZE,5.53,9.68,13.07, 5/8 , 3/4 ,Wood
NC40562,1 1/2 OILED BRONZE,8.86,15.07,20.34,1,1  1/2 ,Wood
NC40704,2 1/4 CAST IRON,8.85,14.15,19.11, 5/8 ,2  1/4 ,Wood
NC40762,2 1/4 OILED BRONZE,11.03,17.65,23.82, 5/8 ,2  1/4 ,Wood
NC42331,5/8 NATURAL COOL MAPLE,6.21,9.93,12.91,1, 5/8 ,Wood
NC42332,5/8 WHITE WASH WARM MAPLE,5.46,8.74,11.36,1, 5/8 ,Wood
NC42414,3/4 BLACK ASH,5.75,9.20,11.96,1  1/4 , 3/4 ,Wood
NC42431,3/4 NATURAL COOL MAPLE,6.79,10.86,14.12,1  1/4 , 3/4 ,Wood
NC42432,3/4 WHITE WASH WARM MAPLE,7.35,11.76,15.29,1  1/4 , 3/4 ,Wood
NC42631,3/4 NATURAL MAPLE,10.50,16.80,21.84,1  3/4 , 3/4 ,Wood
NC44041,3/4 BLACK GOLD LEAF,6.86,10.98,14.27, 7/8 , 3/4 ,Wood
NC44042,3/4 BLACK SILVER LEAF,6.86,10.98,14.27, 7/8 , 3/4 ,Wood
NC44043,3/4 BLACK BROWN,4.95,7.92,10.30, 7/8 , 3/4 ,Wood
NC44141,1 3/16 BLACK/GOLD LEAF,8.08,12.93,16.81, 9/16,1  3/16,Wood
NC44142,1 3/16 BLACK/SILVER LEAF,8.08,12.93,16.81, 9/16,1  3/16,Wood
NC44143,1 3/16 BLACK/BROWN,7.13,11.42,14.84, 9/16,1  3/16,Wood
NC44541,2 3/8 BLACK/GOLD LEAF,11.94,19.10,24.83, 7/8 ,2  3/8 ,Wood
NC44542,2 3/8 BLACK/SILVER LEAF,11.94,19.10,24.83, 7/8 ,2  3/8 ,Wood
NC44543,2 3/8 BLACK/BROWN,11.16,17.85,23.21, 7/8 ,2  3/8 ,Wood
NC45204,3/4 CHARRED BLACK,3.75,6.37,8.60,13/16, 3/4 ,Wood
NC45207,3/4 COTTAGE WHITE,3.75,6.37,8.60,13/16, 3/4 ,Wood
NC45209,3/4 WEATHERED BROWN,3.75,6.37,8.60,13/16, 3/4 ,Wood
NC45304,1 1/8 CHARRED BLACK,3.49,5.94,8.02, 3/8 ,1  1/8 ,Wood
NC45307,1 1/8 COTTAGE WHITE,3.49,5.94,8.02, 3/8 ,1  1/8 ,Wood
NC45309,1 1/8 WEATHERED BROWN,3.49,5.94,8.02, 3/8 ,1  1/8 ,Wood
NC45404,1 1/4 CHARRED BLACK,5.99,10.48,14.15,1  1/8 ,1  1/4 ,Wood
NC45407,1 1/4 COTTAGE WHITE,5.99,10.48,14.15,1  1/8 ,1  1/4 ,Wood
NC45604,1 7/8 CHARRED BLACK,6.62,10.60,14.31,38/87,1  7/8 ,Wood
NC45607,1 7/8 COTTAGE WHITE,6.62,10.60,14.31,38/87,1  7/8 ,Wood
NC45609,1 7/8 WEATHERED BROWN,6.62,10.60,14.31,38/87,1  7/8 ,Wood
NC46101,5/8 ANTIQUE GOLD LEAF,4.19,6.70,9.04, 1/2 , 5/8 ,Wood
NC46102,5/8 ANTIQUE SILVER LEAF,4.19,6.70,9.04, 1/2 , 5/8 ,Wood
NC46104,5/8 ANTIQUE BLACK,3.22,5.15,6.96, 1/2 , 5/8 ,Wood
NC46111,5/8 BLACK & GOLD LEAF,3.55,5.68,7.67, 1/2 , 5/8 ,Wood
NC46112,5/8 BLACK SILVER LEAF,3.55,5.68,7.67, 3/8 , 5/8 ,Wood
NC46116,5/8 COPPER,3.66,5.85,7.90, 1/2 , 5/8 ,Wood
NC46198,5/8 BLACK VERDIGRIS,3.66,5.85,7.90, 1/2 , 5/8 ,Wood
NC46205,5/8 OXIDIZED COPPER,4.51,7.22,9.75,11/16, 5/8 ,Wood
NC46207,5/8 OXIDIZED GOLD,4.51,7.22,9.75,11/16, 5/8 ,Wood
NC46209,5/8 OXIDIZED SILVER,4.51,7.22,9.75,11/16, 5/8 ,Wood
NC46242,5/8 OXIDIZED BLACK,3.93,6.29,8.49,11/16, 5/8 ,Wood
NC46307,5/8 OXIDIZED GOLD W/BEAD,4.77,7.63,10.30, 1/2 , 5/8 ,Wood
