Item #,Description,Line                   Name,Size Decimal,Rabbet Decimal, cost , Chop , Join , Sugg. Retail , AC 
520452,CHIFFON GOLD FILIGREE,Bernini,2.0000,0.5000, $ 21.35 , $ 34.88 , $ 41.37 , $ 90.20 ,
520453,CAPPUCCINO ROSE FILIGREE,Bernini,2.0000,0.5000, $ 21.35 , $ 34.88 , $ 41.37 , $ 90.20 ,
520454,ITALIAN ORCHID FILIGREE,Bernini,2.0000,0.5000, $ 21.35 , $ 34.88 , $ 41.37 , $ 90.20 ,
520459,CAMPFIRE BLACK TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625, $ 12.10 , $ 19.91 , $ 24.90 , $ 52.80 ,
520462,SCOUT BLUE TRACKS MEDIUM BLOCK,Scout,1.5625,1.0625, $ 12.10 , $ 19.91 , $ 24.90 , $ 52.80 ,
520463,CAMPFIRE BLACK TRACKS  BLOCK,Scout,1.1250,0.6875, $ 9.35 , $ 15.45 , $ 20.00 , $ 41.60 ,
520464,CABINE RED TRACKS  BLOCK,Scout,1.1250,0.6875, $ 9.35 , $ 15.45 , $ 20.00 , $ 41.60 ,
520465,SCOUT GREEN TRACKS BLOCK,Scout,1.1250,0.6875, $ 9.35 , $ 15.45 , $ 20.00 , $ 41.60 ,
520466,SCOUT BLUE TRACKS  BLOCK,Scout,1.1250,0.6875, $ 9.35 , $ 15.45 , $ 20.00 , $ 41.60 ,
520473,GILDED BERRIES OF VERSAILLES,Marie,2.6875,0.5000, $ 27.36 , $ 44.62 , $ 52.08 , $ 114.60 ,
520474,VERDANT BERRIES OF VERSAILLES,Marie,2.6875,0.5000, $ 27.36 , $ 44.62 , $ 52.08 , $ 114.60 ,
520475,PETITE GOLD AND GREY ROCOCO RUFFLE,Marie,0.7500,0.375, $ 12.72 , $ 20.90 , $ 25.99 , $ 55.30 ,
520476,PETITE GOLD AND ROUGE ROCOCO RUFFLE,Marie,0.7500,0.375, $ 12.72 , $ 20.90 , $ 25.99 , $ 55.30 ,
520477,PETITE BRIGHT GOLD ROCOCO RUFFLE,Marie,0.7500,0.375, $ 12.72 , $ 20.90 , $ 25.99 , $ 55.30 ,
520478,PETITE GOLD AND GREEN ROCOCO RUFFLE,Marie,0.7500,0.375, $ 12.72 , $ 20.90 , $ 25.99 , $ 55.30 ,
520479,PETITE GOLD AND BLEU ROCOCO RUFFLE,Marie,0.7500,0.375, $ 12.72 , $ 20.90 , $ 25.99 , $ 55.30 ,
520482,GOLDEN PEARL TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520483,COPPER CORAL TINY SCALLOP,Abalone,0.5625,0.4375, $ 10.47 , $ 17.26 , $ 21.99 , $ 46.20 ,
520484,DOLPHIN BLUE TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520485,OYSTER PEARL TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520486,SILVER SANDS TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520487,SILVER SHARKL TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520488,MOON JELLYFISH TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520489,MAROONED TINY SCALLOP,Abalone,0.5625,0.4375, $ 9.62 , $ 15.89 , $ 20.48 , $ 42.70 ,
520496,JET BLACK POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520497,ELECTRIC BLUE POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520498,PARADISE BLUE POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520499,KALE POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520500,EMERALD POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520501,GREENERY POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520503,MIMOSA POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520504,TIGERLILY POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520505,BORDEAUX POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520506,FUCHSIA POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520507,CARAMEL POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520508,ROOT BEER POP,Pop!,0.625,0.3125, $ 9.51 , $ 15.70 , $ 20.27 , $ 42.30 ,
520509,CARAMEL ANGLE,Pop!,1.125,0.5000, $ 10.84 , $ 17.86 , $ 22.64 , $ 47.60 ,
520510,JET BLACK ANGLE,Pop!,1.125,0.5000, $ 11.81 , $ 19.44 , $ 24.38 , $ 51.60 ,
520511,ELECTRIC BLUE ANGLE,Pop!,1.125,0.5000, $ 11.81 , $ 19.44 , $ 24.38 , $ 51.60 ,
520512,FUCHSIA ANGLE,Pop!,1.125,0.5000, $ 11.81 , $ 19.44 , $ 24.38 , $ 51.60 ,
520513,LILAC AMETHYST BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
520515,WHITE MOONSTONE BLOCK,Quarry,1.9375,0.7500, $ 22.18 , $ 36.23 , $ 42.86 , $ 93.60 ,
520516,TURQUOISE BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
520517,GREEN JASPER BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
520518,LAPIS LAZULI BLOCK,Quarry,1.9375,0.7500, $ 24.18 , $ 39.47 , $ 46.41 , $ 101.70 ,
