item,description,cost,Chop,join,WIDTH,rabbet,group
45832,VIRTU SILVER ,8.32,13.00,15.68,2  1/2 ,1  1/4 ,Wood
46029,STERLING SILKY GOLD ,4.69,8.20,10.41,1,1  1/8 ,Wood
46039,STERLING SILKY SILVER ,4.69,8.20,10.41,1,1  1/8 ,Wood
46108,ASTI SOFT GOLD,3.50,6.59,8.53,1  3/16,7/8,Wood
46109,ASTI SOFT SILVER ,3.50,6.59,8.53,1  3/16, 7/8,Wood
47508,ASTI SOFT GOLD ,5.50,9.11,11.43,1  5/8 ,1  3/8 ,Wood
47509,ASTI SOFT SILVER ,5.50,9.11,11.43,1  5/8 ,1  3/8 ,Wood
47708,ASTI SOFT GOLD ,3.30,6.29,8.17, 3/4 ,1  1/8 ,Wood
47709,ASTI SOFT SILVER,3.30,6.29,8.17, 3/4 ,1  1/8 ,Wood
48012,LUISANT ANTIQUE GOLD ,8.65,13.45,16.18,2  3/16,1  7/16,Wood
48013,LUISANT ANTIQUE SILVER ,8.65,13.45,16.18,2  3/16,1  7/16,Wood
48022,LUISANT DARK COPPER ,8.65,13.45,16.18,2  3/16,1  7/16,Wood
48023,LUISANT DARK SILVER ,8.65,13.45,16.18,2  3/16,1  7/16,Wood
48101,ELEMENTS GOLD ,8.25,12.90,15.58,2,13/16,Wood
48102,ELEMENTS  SILVER ,8.25,12.90,15.58,2, 13/16,Wood
48103,ELEMENTS BLACK ,8.25,12.90,15.58,2,13/16,Wood
48112,LUISANT ANTIQUE GOLD ,5.45,9.06,11.37,1  3/8 , 13/16,Wood
48113,LUISANT ANTIQUE SILVER ,5.45,9.06,11.37,1  3/8 , 13/16,Wood
48122,LUISANT DARK COPPER ,5.45,9.06,11.37,1  3/8 , 13/16,Wood
48123,LUISANT DARK SILVER,5.45,9.06,11.37,1  3/8 , 13/16,Wood
48201,ELEMENTS GOLD ,14.00,21.24,24.56,2  3/4 ,1  1/2 ,Wood
48202,ELEMENTS SILVER ,14.00,21.24,24.56,2  3/4 ,1  1/2 ,Wood
48203,ELEMENTS BLACK ,14.00,21.24,24.56,2  3/4 ,1  1/2 ,Wood
48301,ASTORIA GOLD ,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48302,ASTORIA DARK GOLD ,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48303,ASTORIA SILVER ,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48304,ASTORIA ARCTIC,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48305,ASTORIA DARK SILVER ,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48306,ASTORIA  BLACK  ,7.48,11.81,14.39,1  7/16,1  7/16,Wood
48401,CASCADE GOLD  ,6.61,10.56,13.02,1  3/16,1  3/16,Wood
48402,CASCADE LIGHT  BRONZE   ,6.61,10.56,13.02,1  3/16,1  3/16,Wood
48403,CASCADE PLATINUM   ,6.61,10.56,13.02,1  3/16,1  3/16,Wood
48404,CASCADE DARK SILVER   ,6.61,10.56,13.02,1  3/16,1  3/16,Wood
48405,CASCADE BLACK   ,6.61,10.56,13.02,1  3/16,1  3/16,Wood
48501,CASCADE GOLD ,7.50,11.84,14.42,1  7/8 ,1,Wood
48502,CASCADE LIGHT BRONZE,7.50,11.84,14.42,1  7/8 ,1,Wood
