Code,Description,Width,rabbet,category,Cost,chop,group
8053WG,49x34mm White & Gold Open Grain LUXE Wentworth Scoop Moulding,49,17,White,9.62,19.24,Wood
8053WH,49x34mm White Open Grain LUXE Wentworth Scoop Moulding,49,17,White,9,18,Wood
8053WS,49x34mm White & Silver Open Grain LUXE Wentworth Scoop Moulding,49,17,White,9.62,19.24,Wood
8054BG,80x54mm Black & Gold Open Grain LUXE Wentworth Scoop Moulding,80,26,Black,14.53,29.06,Wood
8054BK,80x54mm Black Open Grain LUXE Wentworth Scoop Moulding,80,26,Black,13.77,27.53,Wood
8054BS,80x54mm Black & Silver Open Grain LUXE Wentworth Scoop Moulding,80,26,Black,14.53,29.06,Wood
8054IG,80x54mm Ivory & Gold Open Grain LUXE Wentworth Scoop Moulding,80,26,Gold,14.53,29.06,Wood
8054WG,80x54mm White & Gold Open Grain LUXE Wentworth Scoop Moulding,80,26,White,14.53,29.06,Wood
8054WH,80x54mm White Open Grain LUXE Wentworth Scoop Moulding,80,26,White,13.77,27.53,Wood
8054WS,80x54mm White & Silver Open Grain LUXE Wentworth Scoop Moulding,80,26,White,14.53,29.06,Wood
8101BG,22x30mm Gold/Black Lip LUXE Boston Box Moulding,22,17,Gold,7.95,15.9,Wood
8101BS,22x30mm Silver/Black Lip LUXE Boston Box Moulding,22,17,Silver,7.95,15.9,Wood
8101WG,22x30mm Gold/White Lip LUXE Boston Box Moulding,22,17,Gold,7.95,15.9,Wood
8101WS,22x30mm Silver/White Lip LUXE Boston Box Moulding,22,17,Silver,7.95,15.9,Wood
8102BG,35x39mm Gold/Black Lip LUXE Boston Box Moulding,35,18,Gold,11.26,22.51,Wood
8102BS,35x39mm Silver/Black Lip LUXE Boston Box Moulding,35,18,Silver,11.26,22.51,Wood
8102WG,35x39mm Gold/White Lip LUXE Boston Box Moulding,35,18,Gold,11.26,22.51,Wood
8102WS,35x39mm Silver/White Lip LUXE Boston Box Moulding,35,18,Silver,11.26,22.51,Wood
8103BS,45x49mm Silver/Black Lip LUXE Boston Box Moulding,45,28,Silver,18.5,37,Wood
8103WG,45x49mm Gold/White Lip LUXE Boston Box Moulding,45,28,Gold,18.5,37,Wood
8103WS,45x49mm Silver/White Lip LUXE Boston Box Moulding,45,28,Silver,18.5,37,Wood
8109BK,20x30mm Black Cushion Moulding - DISCO,20,28,Black,11.15,22.3,Wood
8126GD,75x32mm Gold Scoop Moulding,75,25,Gold,18.78,37.57,Wood
8126SI,75x32mm Silver Scoop Moulding,75,25,Silver,18.78,37.57,Wood
8166SI,28x16mm Silver Flat Moulding,28,11,Silver,7.81,15.62,Wood
8203SI,30x15mm Silver Reverse Moulding,30,9,Silver,5.43,10.86,Wood
8229GD,14x12mm Gold Cushion Moulding,14,11,Gold,4.91,9.83,Wood
8229SI,14x12mm Silver Cushion Moulding,14,11,Silver,4.91,9.83,Wood
8311BK,16x35mm Black Flat Moulding,16,30,Black,6.02,12.03,Wood
8311WH,16x35mm White Flat Moulding,16,30,White,6.02,12.03,Wood
8312WH,30x21mm White Scoop Moulding,30,7,White,5.94,11.89,Wood
8313BK,39x14mm Black Flat Moulding,39,9,Black,5.83,11.66,Wood
8313WH,39x14mm White Flat Moulding,39,9,White,5.83,11.66,Wood
8390BK,30x5mm Black Fillet Moulding,30,,Black,2.92,5.84,Fillet
8390WH,30x5mm White Fillet Moulding,30,,White,2.92,5.84,Fillet
8391BK,18x5mm Black Fillet Moulding,18,,Black,2.48,4.96,Fillet
8391IV,18x5mm - Open Grain Ivory Fillet,18,,Cream,2.48,4.96,Fillet
8391OB,18x5mm Raw Obeche Fillet Moulding,18,,Natural,1.84,3.68,Fillet
8391WH,18x5mm White Fillet Moulding,18,,White,2.48,4.96,Fillet
8392BK,25x5mm Black Fillet Moulding,25,,Black,3.03,6.07,Fillet
8392IV,25x5mm Ivory Fillet Moulding,25,,Cream,3.03,6.07,Fillet
8392OB,25x5mm Raw Obeche Fillet Moulding,25,,Natural,2.23,4.45,Fillet
8392WH,25x5mm White Fillet Moulding,25,,White,3.03,6.07,Fillet
8445BK,20x35mm Antique Black Scoop Stamford Moulding,20,14,Black,7.73,55.06,Wood
8445BR,20x35mm Antique Bronze Scoop Stamford Moulding,20,14,Bronze,7.73,55.06,Wood
8445GD,20x35mm Antique Gold Scoop Stamford Moulding,20,14,Gold,7.73,55.06,Wood
8445SI,20x35mm Antique Silver Scoop Stamford Moulding,20,14,Silver,7.73,55.06,Wood
8545BK,85x45mm Black Open Grain Reverse Moulding,85,28,Black,13.14,26.27,Wood
8545WH,85x45mm White Open Grain Reverse Moulding,85,28,White,13.14,26.27,Wood
8715BK,15x25mm Open Grain Black Moulding,15,20,Black,3.75,7.51,Wood
8715BN,15x25mm Brown Flat Moulding,15,20,Brown,3.79,7.58,Wood
8715GY,15x25mm Dark Grey Flat Moulding,15,20,Grey,3.75,7.51,Wood
8715OA,15x25mm Oak Stain Flat Moulding,15,20,Brown,3.79,7.58,Wood
8715PG,15x25mm Pale Grey Flat Moulding,15,20,Grey,3.75,7.51,Wood
8715WH,15x25mm Open Grain White Moulding,15,20,White,3.75,7.51,Wood
9004AG,24x22mm Antique Gold Scoop Moulding,24,13,Gold,7.08,14.15,Wood
9004GD,24x22mm Gold Scoop Moulding,24,13,Gold,7.68,15.35,Wood
9004SI,24x22mm Silver Scoop Moulding,24,13,Silver,7.68,15.35,Wood
9014AG,39x25mm Antique Gold Scoop Moulding,39,12,Gold,10.98,21.97,Wood
9045BG,53x30mm Black with Gold Leaf LUXE Knightsbridge Decorative Scoop Moulding,53,19,Black,15.87,31.73,Wood
