ITEM,DESC,WIDTH,UM,UPC,LISTPRICE,CHOPPRICE,JOINPRICE,CLASS,BOXQTY,BOXPRICE,ISFILLET,ISCUTMAT,ISMATBOARD
N1414,FLOATERS GERMAN SILVER,0.25,FT,87828364743,10.32,15.84,0,Frame Moulding,80,10.32,N,N,N
N1421,FLOATERS MATTE BLACK,0.25,FT,87828324808,10.3,15.44,0,Frame Moulding,80,10.3,N,N,N
N1501,"SILVER 3/8""",0.375,FT,720472109338,5.77,7.57,0,Frame Moulding,320,5.77,N,N,N
N1502,"FROSTED SILVER 3/8""",0.375,FT,720472109345,5.77,7.57,0,Frame Moulding,320,5.77,N,N,N
N1503,"GOLD 3/8""",0.375,FT,720472109352,5.9,8.19,0,Frame Moulding,320,5.9,N,N,N
N1504,"FROSTED GOLD 3/8""",0.375,FT,720472109369,5.77,7.57,0,Frame Moulding,320,5.77,N,N,N
N1508,"FROSTED BRONZE 3/8""",0.375,FT,720472109406,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1510,"GRAPHITE 3/8""",0.375,FT,720472117784,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1512,"FROSTED PEWTER 3/8""",0.375,FT,720472109437,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1513,"CONTRAST GRAY 3/8""",0.375,FT,720472109444,6.48,8.25,0,Frame Moulding,320,6.48,N,N,N
N1514,"GERMAN SILVER 3/8""",0.375,FT,720472109451,6.59,8.38,0,Frame Moulding,320,6.59,N,N,N
N15150,"FLORENTINE SILVER 3/8""",0.375,FT,720472122047,6.77,8.61,0,Frame Moulding,320,6.77,N,N,N
N15153,FLORENTINE PEWTER,0.375,FT,720472122078,6.77,8.61,0,Frame Moulding,320,6.77,N,N,N
N15154,FLORENTINE GRAY,0.375,FT,720472122085,6.27,8.61,0,Frame Moulding,320,6.27,N,N,N
N15155,FLORENTINE AMBER,0.375,FT,720472122092,6.77,8.61,0,Frame Moulding,320,6.77,N,N,N
N15156,"FLORENTINE BLACK 3/8""",0.375,FT,720472122108,6.77,8.61,0,Frame Moulding,320,6.77,N,N,N
N15164,"DUSK 3/8""",0.375,FT,720472119252,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N15170,FROSTED UMBER,0.375,FT,720472127530,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1519,"FROSTED WALNUT 3/8""",0.375,FT,720472109505,5.54,8.28,0,Frame Moulding,320,5.54,N,N,N
N1520,"ANODIC BLACK 3/8""",0.375,FT,720472109512,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1521,"MATTE BLACK 3/8""",0.375,FT,720472109529,6.59,8.38,0,Frame Moulding,320,6.59,N,N,N
N1523,"ANTIQUE GOLD 3/8""",0.375,FT,720472109543,5.04,7.56,0,Frame Moulding,320,5.04,N,N,N
N1524,"COBALT 3/8""",0.375,FT,720472122214,6.49,8.25,0,Frame Moulding,320,6.49,N,N,N
N1550,"BLACK 3/8""",0.375,FT,720472109598,5.77,7.57,0,Frame Moulding,160,5.77,N,N,N
N1552,BRIGHT WHITE 1/2,0.375,FT,720472109604,5.77,7.57,0,Frame Moulding,160,5.77,N,N,N
N1555,"RIGHT RED 3/8""",0.375,FT,720472109628,5.76,7.57,0,Frame Moulding,160,5.76,N,N,N
N1558,INDIGO 1/2,0.375,FT,720472109642,5.04,7.56,0,Frame Moulding,160,5.04,N,N,N
N1566,"LAPIS 3/8""",0.375,FT,720472109697,5.77,7.57,0,Frame Moulding,160,5.77,N,N,N
N1568,"CHINESE RED 3/8""",0.375,FT,720472109703,5.76,7.57,0,Frame Moulding,160,5.76,N,N,N
N2108,"NIELSEN FROST ROSE GOLD 9/16""",0.59375,FT,87828093964,6.37,9.25,0,Frame Moulding,120,6.37,N,N,N
N2121,"NIELSEN MATTE BLACK 9/16""",0.5625,FT,87828040968,7.71,9.8,0,Frame Moulding,120,7.71,N,N,N
N21227,"NIELSEN VIVID RED 9/16""",0.59375,FT,87828045208,6.86,9.25,0,Frame Moulding,120,6.86,N,N,N
N2123,"NIELSEN ANTIQUE GOLD 9/16""",0.59375,FT,720472132497,7.06,9.37,0,Frame Moulding,120,7.06,N,N,N
N21233,"NIELSEN PURPLE HAZE 9/16""",0.59375,FT,87828092967,6.86,9.25,0,Frame Moulding,120,6.86,N,N,N
N21235,"NIELSEN TANGERINE TWIST 9/16""",0.59375,FT,87828082302,6.86,9.25,0,Frame Moulding,120,6.86,N,N,N
N21250,MERLOT NIESLEN 21,0.59375,FT,87828019384,7.71,9.8,0,Frame Moulding,120,7.71,N,N,N
N21257,"NIELSEN SAPPHIRE 9/16""",0.59375,FT,87828094343,6.86,9.25,0,Frame Moulding,120,6.86,N,N,N
N21258,"NIELSEN REALLY TEAL 9/16""",0.59375,FT,87828082821,6.86,9.25,0,Frame Moulding,120,6.86,N,N,N
N21261,"NIELSEN DAWN 9/16""",0.59375,FT,87828097245,6.46,9.25,0,Frame Moulding,120,6.46,N,N,N
N21400,"CHROME NIELSEN 1 1/16""",0.59375,FT,87828027587,7.71,9.8,0,Frame Moulding,120,7.71,N,N,N
