Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
120MK,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Satin Black #120 Maple,
FC-120MK,0.5,1.062,0.188,,,26.98,Wood,FC Satin Black #120 Maple,
120MA,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Warm White #120 Maple,
FC-120MA,0.5,1.062,0.188,,,26.98,Wood,FC Warm White #120 Maple,
120MI,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Rising White #120 Maple,
FC-120MI,0.5,1.062,0.188,,,26.98,Wood,FC Rising White #120 Maple,
120M1,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Light Grey #120 Maple,
FC-120M1,0.5,1.062,0.188,,,26.98,Wood,FC Light Grey #120 Maple,
120M2,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Medium Grey #120 Maple,
FC-120M2,0.5,1.062,0.188,,,26.98,Wood,FC Medium Grey #120 Maple,
120M3,0.5,1.062,0.188,7.91,10.92,15.29,Wood,Dark Grey #120 Maple,
FC-120M3,0.5,1.062,0.188,,,26.98,Wood,FC Dark Grey #120 Maple,
120M9,0.5,1.062,0.188,8.7,12.01,16.81,Wood,Wheat #120 Maple,
FC-120M9,0.5,1.062,0.188,,,26.98,Wood,FC Wheat #120 Maple,
120OR,0.5,1.062,0.188,3.13,4.32,6.91,Wood,Raw #120 Oak,
FC-120OR,0.5,1.062,0.188,,,23.57,Wood,FC Raw #120 Oak,
120OF,0.5,1.062,0.188,6.39,8.82,12.35,Wood,Oil & Wax #120 Oak,
FC-120OF,0.5,1.062,0.188,,,24.26,Wood,FC Oil & Wax #120 Oak,
120OL,0.5,1.062,0.188,6.66,9.19,12.87,Wood,Clear Lacquer #120 Oak,
FC-120OL,0.5,1.062,0.188,,,24.26,Wood,FC Clear Lacquer #120 Oak,
120WR,0.5,1.062,0.188,7.81,11.4,18.24,Wood,Raw #120 Walnut,
FC-120WR,0.5,1.062,0.188,,,30.65,Wood,FC Raw #120 Walnut,
120WF,0.5,1.062,0.188,12.4,18.1,25.34,Wood,Oil & Wax #120 Walnut,
FC-120WF,0.5,1.062,0.188,,,31.34,Wood,FC Oil & Wax #120 Walnut,
120WP,0.5,1.062,0.188,13.24,19.33,27.06,Wood,Padauk #120 Walnut,
FC-120WP,0.5,1.062,0.188,,,32.03,Wood,FC Padauk #120 Walnut,
120WB,0.5,1.062,0.188,13.24,19.33,27.06,Wood,Special Dark #120 Walnut,
FC-120WB,0.5,1.062,0.188,,,32.03,Wood,FC Special Dark #120 Walnut,
120WE,0.5,1.062,0.188,12.4,18.1,25.34,Wood,Ebony #120 Walnut,
FC-120WE,0.5,1.062,0.188,,,32.03,Wood,FC Ebony #120 Walnut,
120WK,0.5,1.062,0.188,11.61,16.95,23.73,Wood,Satin Black #120 Walnut,
FC-120WK,0.5,1.062,0.188,,,31.34,Wood,FC Satin Black #120 Walnut,
120W1,0.5,1.062,0.188,11.61,16.95,23.73,Wood,Light Grey #120 Walnut,
FC-120W1,0.5,1.062,0.188,,,31.34,Wood,FC Light Grey #120 Walnut,
120W2,0.5,1.062,0.188,11.61,16.95,23.73,Wood,Medium Grey #120 Walnut,
FC-120W2,0.5,1.062,0.188,,,31.34,Wood,FC Medium Grey #120 Walnut,
120W3,0.5,1.062,0.188,11.61,16.95,23.73,Wood,Dark Grey #120 Walnut,
FC-120W3,0.5,1.062,0.188,,,31.34,Wood,FC Dark Grey #120 Walnut,
120VR,0.5,1.062,0.188,5.44,8.98,14.37,Wood,Raw #120 White Oak,
FC-120VR,0.5,1.062,0.188,,,29.61,Wood,FC Raw #120 White Oak,
120VF,0.5,1.062,0.188,8.7,14.35,20.09,Wood,Oil & Wax #120 White Oak,
FC-120VF,0.5,1.062,0.188,,,30.29,Wood,FC Oil & Wax #120 White Oak,
120VL,0.5,1.062,0.188,9.24,15.25,21.35,Wood,Clear Lacquer #120 White Oak,
FC-120VL,0.5,1.062,0.188,,,30.29,Wood,FC Clear Lacquer #120 White Oak,
120VC,0.5,1.062,0.188,10.87,17.94,25.12,Wood,Charcoal #120 White Oak,
FC-120VC,0.5,1.062,0.188,,,30.98,Wood,FC Charcoal #120 White Oak,
120VM,0.5,1.062,0.188,10.87,17.94,25.12,Wood,Mission #120 White Oak,
FC-120VM,0.5,1.062,0.188,,,30.98,Wood,FC Mission #120 White Oak,
120V7,0.5,1.062,0.188,10.87,17.94,25.12,Wood,Bleached #120 White Oak,
FC-120V7,0.5,1.062,0.188,,,30.98,Wood,FC Bleached #120 White Oak,
122AR,0.625,1.062,0.25,3.37,4.79,7.66,Wood,Raw #122 Ash,
FC-122AR,0.625,1.062,0.25,,,24.04,Wood,FC Raw #122 Ash,
122AF,0.625,1.062,0.25,6.63,9.41,13.17,Wood,Oil & Wax #122 Ash,
FC-122AF,0.625,1.062,0.25,,,24.73,Wood,FC Oil & Wax #122 Ash,
122AL,0.625,1.062,0.25,7.17,10.18,14.25,Wood,Clear Lacquer #122 Ash,
FC-122AL,0.625,1.062,0.25,,,24.73,Wood,FC Clear Lacquer #122 Ash,
122AW,0.625,1.062,0.25,9.07,12.88,18.03,Wood,WhiteWash #122 Ash,
FC-122AW,0.625,1.062,0.25,,,25.42,Wood,FC WhiteWash #122 Ash,
122AT,0.625,1.062,0.25,9.07,12.88,18.03,Wood,White #122 Ash,
FC-122AT,0.625,1.062,0.25,,,26.79,Wood,FC White #122 Ash,
122AK,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Satin Black #122 Ash,
FC-122AK,0.625,1.062,0.25,,,26.79,Wood,FC Satin Black #122 Ash,
122AA,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Warm White #122 Ash,
FC-122AA,0.625,1.062,0.25,,,26.79,Wood,FC Warm White #122 Ash,
122AC,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Charcoal #122 Ash,
FC-122AC,0.625,1.062,0.25,,,26.79,Wood,FC Charcoal #122 Ash,
122AI,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Rising White #122 Ash,
FC-122AI,0.625,1.062,0.25,,,26.79,Wood,FC Rising White #122 Ash,
122A1,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Light Grey #122 Ash,
FC-122A1,0.625,1.062,0.25,,,26.79,Wood,FC Light Grey #122 Ash,
122A2,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Medium Grey #122 Ash,
FC-122A2,0.625,1.062,0.25,,,26.79,Wood,FC Medium Grey #122 Ash,
122A3,0.625,1.062,0.25,9.07,12.88,18.03,Wood,Dark Grey #122 Ash,
FC-122A3,0.625,1.062,0.25,,,26.79,Wood,FC Dark Grey #122 Ash,
122CR,0.625,1.062,0.25,3.61,5.27,8.43,Wood,Raw #122 Cherry,
FC-122CR,0.625,1.062,0.25,,,24.52,Wood,FC Raw #122 Cherry,
122CF,0.625,1.062,0.25,7.14,10.42,14.59,Wood,Oil & Wax #122 Cherry,
FC-122CF,0.625,1.062,0.25,,,25.21,Wood,FC Oil & Wax #122 Cherry,
122CL,0.625,1.062,0.25,9.04,13.2,18.48,Wood,Clear Lacquer #122 Cherry,
FC-122CL,0.625,1.062,0.25,,,26.58,Wood,FC Clear Lacquer #122 Cherry,
122CG,0.625,1.062,0.25,9.04,13.2,18.48,Wood,Aged #122 Cherry,
FC-122CG,0.625,1.062,0.25,,,26.58,Wood,FC Aged #122 Cherry,
122CQ,0.625,1.062,0.25,9.04,13.2,18.48,Wood,Antique #122 Cherry,
FC-122CQ,0.625,1.062,0.25,,,26.58,Wood,FC Antique #122 Cherry,
122CD,0.625,1.062,0.25,9.04,13.2,18.48,Wood,Black Cherry #122 Cherry,
FC-122CD,0.625,1.062,0.25,,,27.27,Wood,FC Black Cherry #122 Cherry,
122MR,0.625,1.062,0.25,4.11,5.67,9.07,Wood,Raw #122 Maple,
FC-122MR,0.625,1.062,0.25,,,24.92,Wood,FC Raw #122 Maple,
122MF,0.625,1.062,0.25,7.37,10.17,14.24,Wood,Oil & Wax #122 Maple,
FC-122MF,0.625,1.062,0.25,,,25.61,Wood,FC Oil & Wax #122 Maple,
122ML,0.625,1.062,0.25,7.64,10.54,14.76,Wood,Clear Lacquer #122 Maple,
FC-122ML,0.625,1.062,0.25,,,25.61,Wood,FC Clear Lacquer #122 Maple,
122MW,0.625,1.062,0.25,8.7,12.01,16.81,Wood,WhiteWash #122 Maple,
FC-122MW,0.625,1.062,0.25,,,26.3,Wood,FC WhiteWash #122 Maple,
122MT,0.625,1.062,0.25,7.91,10.92,15.29,Wood,White #122 Maple,
FC-122MT,0.625,1.062,0.25,,,26.98,Wood,FC White #122 Maple,
122MK,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Satin Black #122 Maple,
FC-122MK,0.625,1.062,0.25,,,26.98,Wood,FC Satin Black #122 Maple,
122MA,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Warm White #122 Maple,
FC-122MA,0.625,1.062,0.25,,,26.98,Wood,FC Warm White #122 Maple,
122MI,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Rising White #122 Maple,
FC-122MI,0.625,1.062,0.25,,,26.98,Wood,FC Rising White #122 Maple,
122M1,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Light Grey #122 Maple,
FC-122M1,0.625,1.062,0.25,,,26.98,Wood,FC Light Grey #122 Maple,
122M2,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Medium Grey #122 Maple,
FC-122M2,0.625,1.062,0.25,,,26.98,Wood,FC Medium Grey #122 Maple,
122M3,0.625,1.062,0.25,7.91,10.92,15.29,Wood,Dark Grey #122 Maple,
FC-122M3,0.625,1.062,0.25,,,26.98,Wood,FC Dark Grey #122 Maple,
122M9,0.625,1.062,0.25,8.7,12.01,16.81,Wood,Wheat #122 Maple,
FC-122M9,0.625,1.062,0.25,,,26.98,Wood,FC Wheat #122 Maple,
122OR,0.625,1.062,0.25,3.13,4.32,6.91,Wood,Raw #122 Oak,
FC-122OR,0.625,1.062,0.25,,,23.57,Wood,FC Raw #122 Oak,
122OF,0.625,1.062,0.25,6.39,8.82,12.35,Wood,Oil & Wax #122 Oak,
FC-122OF,0.625,1.062,0.25,,,24.26,Wood,FC Oil & Wax #122 Oak,
122OL,0.625,1.062,0.25,6.66,9.19,12.87,Wood,Clear Lacquer #122 Oak,
FC-122OL,0.625,1.062,0.25,,,24.26,Wood,FC Clear Lacquer #122 Oak,
122WR,0.625,1.062,0.25,7.81,11.4,18.24,Wood,Raw #122 Walnut,
FC-122WR,0.625,1.062,0.25,,,30.65,Wood,FC Raw #122 Walnut,
122WF,0.625,1.062,0.25,12.4,18.1,25.34,Wood,Oil & Wax #122 Walnut,
FC-122WF,0.625,1.062,0.25,,,31.34,Wood,FC Oil & Wax #122 Walnut,
122WP,0.625,1.062,0.25,13.24,19.33,27.06,Wood,Padauk #122 Walnut,
FC-122WP,0.625,1.062,0.25,,,32.03,Wood,FC Padauk #122 Walnut,
122WB,0.625,1.062,0.25,13.24,19.33,27.06,Wood,Special Dark #122 Walnut,
FC-122WB,0.625,1.062,0.25,,,32.03,Wood,FC Special Dark #122 Walnut,
122WE,0.625,1.062,0.25,12.4,18.1,25.34,Wood,Ebony #122 Walnut,
FC-122WE,0.625,1.062,0.25,,,32.03,Wood,FC Ebony #122 Walnut,
122WK,0.625,1.062,0.25,11.61,16.95,23.73,Wood,Satin Black #122 Walnut,
FC-122WK,0.625,1.062,0.25,,,31.34,Wood,FC Satin Black #122 Walnut,
122W1,0.625,1.062,0.25,11.61,16.95,23.73,Wood,Light Grey #122 Walnut,
FC-122W1,0.625,1.062,0.25,,,31.34,Wood,FC Light Grey #122 Walnut,
122W2,0.625,1.062,0.25,11.61,16.95,23.73,Wood,Medium Grey #122 Walnut,
FC-122W2,0.625,1.062,0.25,,,31.34,Wood,FC Medium Grey #122 Walnut,
122W3,0.625,1.062,0.25,11.61,16.95,23.73,Wood,Dark Grey #122 Walnut,
FC-122W3,0.625,1.062,0.25,,,31.34,Wood,FC Dark Grey #122 Walnut,
122VR,0.625,1.062,0.25,5.44,8.98,14.37,Wood,Raw #122 White Oak,
FC-122VR,0.625,1.062,0.25,,,29.61,Wood,FC Raw #122 White Oak,
122VF,0.625,1.062,0.25,8.7,14.35,20.09,Wood,Oil & Wax #122 White Oak,
FC-122VF,0.625,1.062,0.25,,,30.29,Wood,FC Oil & Wax #122 White Oak,
122VL,0.625,1.062,0.25,9.24,15.25,21.35,Wood,Clear Lacquer #122 White Oak,
FC-122VL,0.625,1.062,0.25,,,30.29,Wood,FC Clear Lacquer #122 White Oak,
122VC,0.625,1.062,0.25,10.87,17.94,25.12,Wood,Charcoal #122 White Oak,
FC-122VC,0.625,1.062,0.25,,,30.98,Wood,FC Charcoal #122 White Oak,
122VM,0.625,1.062,0.25,10.87,17.94,25.12,Wood,Mission #122 White Oak,
FC-122VM,0.625,1.062,0.25,,,30.98,Wood,FC Mission #122 White Oak,
122V7,0.625,1.062,0.25,10.87,17.94,25.12,Wood,Bleached #122 White Oak,
FC-122V7,0.625,1.062,0.25,,,30.98,Wood,FC Bleached #122 White Oak,
130AR,0.5,1.312,0.188,3.67,5.21,7.82,Wood,Raw #130 Ash,
FC-130AR,0.5,1.312,0.188,,,24.46,Wood,FC Raw #130 Ash,
130AF,0.5,1.312,0.188,6.93,9.84,13.28,Wood,Oil & Wax #130 Ash,
FC-130AF,0.5,1.312,0.188,,,25.15,Wood,FC Oil & Wax #130 Ash,
130AL,0.5,1.312,0.188,7.47,10.61,14.32,Wood,Clear Lacquer #130 Ash,
FC-130AL,0.5,1.312,0.188,,,25.15,Wood,FC Clear Lacquer #130 Ash,
130AW,0.5,1.312,0.188,9.37,13.31,17.97,Wood,WhiteWash #130 Ash,
FC-130AW,0.5,1.312,0.188,,,25.84,Wood,FC WhiteWash #130 Ash,
130AT,0.5,1.312,0.188,9.37,13.31,17.97,Wood,White #130 Ash,
FC-130AT,0.5,1.312,0.188,,,27.21,Wood,FC White #130 Ash,
130AK,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Satin Black #130 Ash,
FC-130AK,0.5,1.312,0.188,,,27.21,Wood,FC Satin Black #130 Ash,
130AA,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Warm White #130 Ash,
FC-130AA,0.5,1.312,0.188,,,27.21,Wood,FC Warm White #130 Ash,
130AC,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Charcoal #130 Ash,
FC-130AC,0.5,1.312,0.188,,,27.21,Wood,FC Charcoal #130 Ash,
130AI,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Rising White #130 Ash,
FC-130AI,0.5,1.312,0.188,,,27.21,Wood,FC Rising White #130 Ash,
130A1,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Light Grey #130 Ash,
FC-130A1,0.5,1.312,0.188,,,27.21,Wood,FC Light Grey #130 Ash,
130A2,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Medium Grey #130 Ash,
FC-130A2,0.5,1.312,0.188,,,27.21,Wood,FC Medium Grey #130 Ash,
130A3,0.5,1.312,0.188,9.37,13.31,17.97,Wood,Dark Grey #130 Ash,
FC-130A3,0.5,1.312,0.188,,,27.21,Wood,FC Dark Grey #130 Ash,
130CR,0.5,1.312,0.188,4.06,5.93,8.9,Wood,Raw #130 Cherry,
FC-130CR,0.5,1.312,0.188,,,25.18,Wood,FC Raw #130 Cherry,
130CF,0.5,1.312,0.188,7.59,11.08,14.96,Wood,Oil & Wax #130 Cherry,
FC-130CF,0.5,1.312,0.188,,,25.87,Wood,FC Oil & Wax #130 Cherry,
130CL,0.5,1.312,0.188,9.49,13.86,18.71,Wood,Clear Lacquer #130 Cherry,
FC-130CL,0.5,1.312,0.188,,,27.24,Wood,FC Clear Lacquer #130 Cherry,
130CG,0.5,1.312,0.188,9.49,13.86,18.71,Wood,Aged #130 Cherry,
FC-130CG,0.5,1.312,0.188,,,27.24,Wood,FC Aged #130 Cherry,
130CQ,0.5,1.312,0.188,9.49,13.86,18.71,Wood,Antique #130 Cherry,
FC-130CQ,0.5,1.312,0.188,,,27.24,Wood,FC Antique #130 Cherry,
130CD,0.5,1.312,0.188,9.49,13.86,18.71,Wood,Black Cherry #130 Cherry,
FC-130CD,0.5,1.312,0.188,,,27.93,Wood,FC Black Cherry #130 Cherry,
130MR,0.5,1.312,0.188,4.34,5.99,8.98,Wood,Raw #130 Maple,
FC-130MR,0.5,1.312,0.188,,,25.24,Wood,FC Raw #130 Maple,
130MF,0.5,1.312,0.188,7.6,10.49,14.16,Wood,Oil & Wax #130 Maple,
FC-130MF,0.5,1.312,0.188,,,25.93,Wood,FC Oil & Wax #130 Maple,
130ML,0.5,1.312,0.188,7.87,10.86,14.66,Wood,Clear Lacquer #130 Maple,
FC-130ML,0.5,1.312,0.188,,,25.93,Wood,FC Clear Lacquer #130 Maple,
130MW,0.5,1.312,0.188,8.93,12.32,16.63,Wood,WhiteWash #130 Maple,
FC-130MW,0.5,1.312,0.188,,,26.62,Wood,FC WhiteWash #130 Maple,
130MT,0.5,1.312,0.188,8.14,11.23,15.16,Wood,White #130 Maple,
FC-130MT,0.5,1.312,0.188,,,27.3,Wood,FC White #130 Maple,
130MK,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Satin Black #130 Maple,
FC-130MK,0.5,1.312,0.188,,,27.3,Wood,FC Satin Black #130 Maple,
130MA,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Warm White #130 Maple,
FC-130MA,0.5,1.312,0.188,,,27.3,Wood,FC Warm White #130 Maple,
130MI,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Rising White #130 Maple,
FC-130MI,0.5,1.312,0.188,,,27.3,Wood,FC Rising White #130 Maple,
130M1,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Light Grey #130 Maple,
FC-130M1,0.5,1.312,0.188,,,27.3,Wood,FC Light Grey #130 Maple,
130M2,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Medium Grey #130 Maple,
FC-130M2,0.5,1.312,0.188,,,27.3,Wood,FC Medium Grey #130 Maple,
130M3,0.5,1.312,0.188,8.14,11.23,15.16,Wood,Dark Grey #130 Maple,
FC-130M3,0.5,1.312,0.188,,,27.3,Wood,FC Dark Grey #130 Maple,
130M9,0.5,1.312,0.188,8.93,12.32,16.63,Wood,Wheat #130 Maple,
FC-130M9,0.5,1.312,0.188,,,27.3,Wood,FC Wheat #130 Maple,
130WR,0.5,1.312,0.188,8.42,12.29,18.43,Wood,Raw #130 Walnut,
FC-130WR,0.5,1.312,0.188,,,31.54,Wood,FC Raw #130 Walnut,
130WF,0.5,1.312,0.188,13.01,18.99,25.64,Wood,Oil & Wax #130 Walnut,
FC-130WF,0.5,1.312,0.188,,,32.23,Wood,FC Oil & Wax #130 Walnut,
130WP,0.5,1.312,0.188,13.85,20.22,27.3,Wood,Padauk #130 Walnut,
FC-130WP,0.5,1.312,0.188,,,32.92,Wood,FC Padauk #130 Walnut,
130WB,0.5,1.312,0.188,13.85,20.22,27.3,Wood,Special Dark #130 Walnut,
FC-130WB,0.5,1.312,0.188,,,32.92,Wood,FC Special Dark #130 Walnut,
130WE,0.5,1.312,0.188,13.01,18.99,25.64,Wood,Ebony #130 Walnut,
FC-130WE,0.5,1.312,0.188,,,32.92,Wood,FC Ebony #130 Walnut,
130WK,0.5,1.312,0.188,12.22,17.84,24.08,Wood,Satin Black #130 Walnut,
FC-130WK,0.5,1.312,0.188,,,32.23,Wood,FC Satin Black #130 Walnut,
130W1,0.5,1.312,0.188,12.22,17.84,24.08,Wood,Light Grey #130 Walnut,
FC-130W1,0.5,1.312,0.188,,,32.23,Wood,FC Light Grey #130 Walnut,
130W2,0.5,1.312,0.188,12.22,17.84,24.08,Wood,Medium Grey #130 Walnut,
FC-130W2,0.5,1.312,0.188,,,32.23,Wood,FC Medium Grey #130 Walnut,
130W3,0.5,1.312,0.188,12.22,17.84,24.08,Wood,Dark Grey #130 Walnut,
FC-130W3,0.5,1.312,0.188,,,32.23,Wood,FC Dark Grey #130 Walnut,
130VR,0.5,1.312,0.188,5.8,9.57,14.36,Wood,Raw #130 White Oak,
FC-130VR,0.5,1.312,0.188,,,30.2,Wood,FC Raw #130 White Oak,
130VF,0.5,1.312,0.188,9.06,14.95,20.18,Wood,Oil & Wax #130 White Oak,
FC-130VF,0.5,1.312,0.188,,,30.88,Wood,FC Oil & Wax #130 White Oak,
130VL,0.5,1.312,0.188,9.6,15.84,21.38,Wood,Clear Lacquer #130 White Oak,
FC-130VL,0.5,1.312,0.188,,,30.88,Wood,FC Clear Lacquer #130 White Oak,
130VC,0.5,1.312,0.188,11.23,18.53,25.02,Wood,Charcoal #130 White Oak,
FC-130VC,0.5,1.312,0.188,,,31.57,Wood,FC Charcoal #130 White Oak,
130VM,0.5,1.312,0.188,11.23,18.53,25.02,Wood,Mission #130 White Oak,
FC-130VM,0.5,1.312,0.188,,,31.57,Wood,FC Mission #130 White Oak,
130V7,0.5,1.312,0.188,11.23,18.53,25.02,Wood,Bleached #130 White Oak,
FC-130V7,0.5,1.312,0.188,,,31.57,Wood,FC Bleached #130 White Oak,
132AR,0.625,1.312,0.25,3.67,5.21,7.82,Wood,Raw #132 Ash,
FC-132AR,0.625,1.312,0.25,,,24.46,Wood,FC Raw #132 Ash,
132AF,0.625,1.312,0.25,6.93,9.84,13.28,Wood,Oil & Wax #132 Ash,
FC-132AF,0.625,1.312,0.25,,,25.15,Wood,FC Oil & Wax #132 Ash,
132AL,0.625,1.312,0.25,7.47,10.61,14.32,Wood,Clear Lacquer #132 Ash,
FC-132AL,0.625,1.312,0.25,,,25.15,Wood,FC Clear Lacquer #132 Ash,
132AW,0.625,1.312,0.25,9.37,13.31,17.97,Wood,WhiteWash #132 Ash,
FC-132AW,0.625,1.312,0.25,,,25.84,Wood,FC WhiteWash #132 Ash,
132AT,0.625,1.312,0.25,9.37,13.31,17.97,Wood,White #132 Ash,
FC-132AT,0.625,1.312,0.25,,,27.21,Wood,FC White #132 Ash,
132AK,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Satin Black #132 Ash,
FC-132AK,0.625,1.312,0.25,,,27.21,Wood,FC Satin Black #132 Ash,
132AA,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Warm White #132 Ash,
FC-132AA,0.625,1.312,0.25,,,27.21,Wood,FC Warm White #132 Ash,
132AC,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Charcoal #132 Ash,
FC-132AC,0.625,1.312,0.25,,,27.21,Wood,FC Charcoal #132 Ash,
132AI,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Rising White #132 Ash,
FC-132AI,0.625,1.312,0.25,,,27.21,Wood,FC Rising White #132 Ash,
132A1,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Light Grey #132 Ash,
FC-132A1,0.625,1.312,0.25,,,27.21,Wood,FC Light Grey #132 Ash,
132A2,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Medium Grey #132 Ash,
FC-132A2,0.625,1.312,0.25,,,27.21,Wood,FC Medium Grey #132 Ash,
132A3,0.625,1.312,0.25,9.37,13.31,17.97,Wood,Dark Grey #132 Ash,
FC-132A3,0.625,1.312,0.25,,,27.21,Wood,FC Dark Grey #132 Ash,
132CR,0.625,1.312,0.25,4.06,5.93,8.9,Wood,Raw #132 Cherry,
FC-132CR,0.625,1.312,0.25,,,25.18,Wood,FC Raw #132 Cherry,
132CF,0.625,1.312,0.25,7.59,11.08,14.96,Wood,Oil & Wax #132 Cherry,
FC-132CF,0.625,1.312,0.25,,,25.87,Wood,FC Oil & Wax #132 Cherry,
132CL,0.625,1.312,0.25,9.49,13.86,18.71,Wood,Clear Lacquer #132 Cherry,
FC-132CL,0.625,1.312,0.25,,,27.24,Wood,FC Clear Lacquer #132 Cherry,
132CG,0.625,1.312,0.25,9.49,13.86,18.71,Wood,Aged #132 Cherry,
FC-132CG,0.625,1.312,0.25,,,27.24,Wood,FC Aged #132 Cherry,
132CQ,0.625,1.312,0.25,9.49,13.86,18.71,Wood,Antique #132 Cherry,
FC-132CQ,0.625,1.312,0.25,,,27.24,Wood,FC Antique #132 Cherry,
132CD,0.625,1.312,0.25,9.49,13.86,18.71,Wood,Black Cherry #132 Cherry,
FC-132CD,0.625,1.312,0.25,,,27.93,Wood,FC Black Cherry #132 Cherry,
132MR,0.625,1.312,0.25,4.34,5.99,8.98,Wood,Raw #132 Maple,
FC-132MR,0.625,1.312,0.25,,,25.24,Wood,FC Raw #132 Maple,
132MF,0.625,1.312,0.25,7.6,10.49,14.16,Wood,Oil & Wax #132 Maple,
FC-132MF,0.625,1.312,0.25,,,25.93,Wood,FC Oil & Wax #132 Maple,
132ML,0.625,1.312,0.25,7.87,10.86,14.66,Wood,Clear Lacquer #132 Maple,
FC-132ML,0.625,1.312,0.25,,,25.93,Wood,FC Clear Lacquer #132 Maple,
132MW,0.625,1.312,0.25,8.93,12.32,16.63,Wood,WhiteWash #132 Maple,
FC-132MW,0.625,1.312,0.25,,,26.62,Wood,FC WhiteWash #132 Maple,
132MT,0.625,1.312,0.25,8.14,11.23,15.16,Wood,White #132 Maple,
FC-132MT,0.625,1.312,0.25,,,27.3,Wood,FC White #132 Maple,
132MK,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Satin Black #132 Maple,
FC-132MK,0.625,1.312,0.25,,,27.3,Wood,FC Satin Black #132 Maple,
132MA,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Warm White #132 Maple,
FC-132MA,0.625,1.312,0.25,,,27.3,Wood,FC Warm White #132 Maple,
132MI,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Rising White #132 Maple,
FC-132MI,0.625,1.312,0.25,,,27.3,Wood,FC Rising White #132 Maple,
132M1,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Light Grey #132 Maple,
FC-132M1,0.625,1.312,0.25,,,27.3,Wood,FC Light Grey #132 Maple,
132M2,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Medium Grey #132 Maple,
FC-132M2,0.625,1.312,0.25,,,27.3,Wood,FC Medium Grey #132 Maple,
132M3,0.625,1.312,0.25,8.14,11.23,15.16,Wood,Dark Grey #132 Maple,
FC-132M3,0.625,1.312,0.25,,,27.3,Wood,FC Dark Grey #132 Maple,
132M9,0.625,1.312,0.25,8.93,12.32,16.63,Wood,Wheat #132 Maple,
FC-132M9,0.625,1.312,0.25,,,27.3,Wood,FC Wheat #132 Maple,
132OR,0.625,1.312,0.25,3.48,4.8,7.2,Wood,Raw #132 Oak,
FC-132OR,0.625,1.312,0.25,,,24.05,Wood,FC Raw #132 Oak,
132OF,0.625,1.312,0.25,6.74,9.3,12.56,Wood,Oil & Wax #132 Oak,
FC-132OF,0.625,1.312,0.25,,,24.74,Wood,FC Oil & Wax #132 Oak,
132OL,0.625,1.312,0.25,7.01,9.67,13.05,Wood,Clear Lacquer #132 Oak,
FC-132OL,0.625,1.312,0.25,,,24.74,Wood,FC Clear Lacquer #132 Oak,
132WR,0.625,1.312,0.25,8.42,12.29,18.43,Wood,Raw #132 Walnut,
FC-132WR,0.625,1.312,0.25,,,31.54,Wood,FC Raw #132 Walnut,
132WF,0.625,1.312,0.25,13.01,18.99,25.64,Wood,Oil & Wax #132 Walnut,
FC-132WF,0.625,1.312,0.25,,,32.23,Wood,FC Oil & Wax #132 Walnut,
132WP,0.625,1.312,0.25,13.85,20.22,27.3,Wood,Padauk #132 Walnut,
FC-132WP,0.625,1.312,0.25,,,32.92,Wood,FC Padauk #132 Walnut,
132WB,0.625,1.312,0.25,13.85,20.22,27.3,Wood,Special Dark #132 Walnut,
FC-132WB,0.625,1.312,0.25,,,32.92,Wood,FC Special Dark #132 Walnut,
