ITEM,description,fortybysixty,UPC,cost,group
A6201,ARTQ RAG DOWN 3240 4PLY,32x40,720472337397,22.71,Matboard
A6202,ARTQ RAG WHITEWASH 3240 4PLY,32x40,720472337489,22.71,Matboard
A6203,ARTQ RAG SWEET CREAM 3240 4PLY,32x40,720472337465,24.01,Matboard
A6204,ARTQ RAG NIGHTFALL 3240 4 PLY,32x40,720472337373,22.69,Matboard
A6205,ARTQ RAG OATMEAL 3240 4PLY,32x40,720472337441,24.02,Matboard
A6206,ARTQ RAG BAVARIAN CRM 3240 4PL,32x40,720472337403,24.02,Matboard
A6207,ARTQ RAG BUTTER PECAN 3240 4PL,32x40,720472337472,22.69,Matboard
A6208,ARTQ RAG SEASHELL 3240 4PLY,32x40,720472337434,24.03,Matboard
A6209,ARTQ RAG BISQUE 3240 4PLY,32x40,720472337410,24.02,Matboard
A6210,ARTQ RAG FRAPPE 3240 4PLY,32x40,720472337458,24.02,Matboard
A6211,ARTQ RAG MARBLE 3240 4PLY,32x40,720472337427,24.02,Matboard
A6400,ARTQ RAG WINTER WHITE 4872 4PL,32x40,720472337533,74.1,Matboard
A6500,ARTQ RAG WINTER WHITE 4896 4PL,32x40,720472337557,120.13,Matboard
A84101,WHITE 40X60 8PLY,40x60,720472336123,65.72,Matboard
A84118,CHESTNUT 40X60 8PLY,40x60,720472336208,75.5,Matboard
A84120,THATCH 40X60 8PLY,40x60,720472336154,65.72,Matboard
A84127,RAVEN 40X60 8PLY,40x60,720472336215,75.5,Matboard
A84141,NIGHT 40X60 8PLY,40x60,720472336185,75.5,Matboard
A84143,DOVER WHITE 40X60 8PLY,40x60,720472336130,65.72,Matboard
A84144,OYSTER 40X60 8PLY,40x60,720472336147,65.72,Matboard
A84147,DIGITAL WHITE 40X60 8PLY,40x60,720472336116,65.72,Matboard
A84149,GRAPHITE 40X60 8PLY,40x60,720472336192,75.5,Matboard
A84153,BIRCH 40X60 8PLY,40x60,720472336161,65.72,Matboard
A84154,COTSWOLD GREY 40X60 8PLY,40x60,720472336178,65.72,Matboard
A84802,OYSTER 32X40 8PLY,32x40,720472336031,32.13,Matboard
A84833,GRAPHITE 32X40 8PLY,32x40,720472336086,40.71,Matboard
A84837,BIRCH 32X40 8PLY,32x40,720472336055,32.13,Matboard
A84858,RAVEN 32X40 8PLY,32x40,720472336109,40.71,Matboard
A84860,COTSWOLD GREY 32X40 8PLY,32x40,720472336062,32.13,Matboard
A84865,DOVER WHITE 32X40 8PLY,32x40,720472336024,32.13,Matboard
A84901,WHITE 32X40 8PLY,32x40,720472336017,32.13,Matboard
A84934,CHESTNUT 32X40 8PLY,32x40,720472336093,40.71,Matboard
A84937,THATCH 32X40 8PLY,32x40,720472336048,32.13,Matboard
A84969,NIGHT 32X40 8PLY,32x40,720472336079,40.71,Matboard
A84977,DIGITAL WHITE 32X40 8PLY,32x40,720472336000,32.13,Matboard
A86100,ARTQ RAG WINTER WHITE 4060 8PL,32x40,720472337540,99.85,Matboard
A86200,ARTQ RAG WINTER WHITE 3240 8PL,32x40,720472337502,51.1,Matboard
A86201,ARTQ RAG DOWN 3240 8PLY,32x40,720472337519,51.12,Matboard
AQ2200,ARQ PROD EBONY 32X40 (PK=25),32x40,,128.52,Matboard
AQ2201,ARQ PROD DOVE 32X40 (PK=25),32x40,,127.99,Matboard
AQ2202,ARQ PROD MILK 32X40 (PK=25),32x40,,128.41,Matboard
AQ2203,ARQ PROD PEARL 32X40 (PK=25),32x40,,128.49,Matboard
AQ2204,ARQ PROD BONE 32X40 (PK=25),32x40,,128.27,Matboard
AQ2207,ARQ PROD LATTE 32X40 (PK=25),32x40,,128.35,Matboard
AQ2209,ARQ PROD GARDENIA 32X40 PK=25,32x40,,147.93,Matboard
AQ2210,ARQ PROD HAZELNUT 32X40 PK=25,32x40,,148.05,Matboard
AQ2212,ARQ PROD QUARRY 32X40 (PK=25),32x40,,128.56,Matboard
AQ2213,ARQ PROD STEM 32X40 (PK=25),32x40,,98.36,Matboard
AQ2214,ARQ PROD WAVE 32X40 (PK=25),32x40,,131.53,Matboard
AQ2216,ARQ PROD DAFFODIL 32X40 PK=25,32x40,,98.51,Matboard
AQ2217,ARQ PROD CLEMENTINE 32X40 PK25,32x40,,147.73,Matboard
AQ2219,ARQ PROD ESPRESSO 32X40 PK=25,32x40,,148.19,Matboard
AQ29200,ARQ PROD EBONY 40X60 (PK=20),40x60,,273.19,Matboard
AQ29201,ARQ PROD DOVE 40X60 (PK=20),40x60,,284.43,Matboard
AQ29203,ARQ PROD PEARL 40X60 (PK=20),40x60,,278.55,Matboard
AQ5001,ARQ WC 5pk BLIZZARD 32X40,32x40,,38.73,Matboard
AQ5007,ARQ WC 5pk MOCHA 32X40,32x40,,38.73,Matboard
AQ5011,ARQ WC 5pk BLACK 32X40,32x40,,38.73,Matboard
AQ5065,ARQ WC 5PK HAYSEED 32X40,32x40,,38.73,Matboard
AQ5145,ARQ WC 5pk ALABASTER 32X40,32x40,,38.73,Matboard
AQ5151,ARQ WC 5pk BEAUJOLAIS 32X40,32x40,,38.73,Matboard
AQ5173,ARQ WC 5pk KENDAL GREEN 32X40,32x40,,38.73,Matboard
AQ5213,ARQ WC 5pk CREAM 32X40,32x40,,38.73,Matboard
AQ5246,ARQ WC 5pk GOLD 32X40,32x40,,38.73,Matboard
AQ5627,ARQ WC 5pk MINUET 32X40,32x40,,38.73,Matboard
AQ5632,ARQ WC 5pk PALE GREY 32X40,32x40,,38.73,Matboard
AQ5640,ARQ WC 5pk IMPERIAL BLUE 32X40,32x40,,38.73,Matboard
AQ5661,ARQ WC 5pk AVILLON WHT 32X40,32x40,,38.73,Matboard
AQ5686,ARQ WC 5pk OCEAN BLUE 32X40,32x40,,38.73,Matboard
AQ5698,ARQ WC 5pk GLACIER 32X40,32x40,,38.73,Matboard
AQ5699,ARQ WC 5pk FOOTBALL RED 32X40,32x40,,38.73,Matboard
AQ5701,ARQ WC 5pk PICKET FENCE 32X40,32x40,,38.73,Matboard
AQ5751,ARQ WC 5pk BLANC 32X40,32x40,,38.73,Matboard
AQ59627,ARQ WC 5pk MINUET 40X60,40x60,,85.98,Matboard
AQ5968,ARQ WC 5pk VINYL 32X40,32x40,,38.73,Matboard
AQ5977,ARQ WC 5pk WINTER WHITE 32X40,32x40,,38.73,Matboard
AQW2101,ARQ PROD DOVE WC 32X40 (PK=25),32x40,,156.79,Matboard
AQW2200,ARQ PROD EBONY WC 32X40 PK=25,32x40,,151.47,Matboard
