category,item,description, cost , dimensions 
BAINBRIDGE,8448B,JALAPENO,  24.00 , 32x40 
BAINBRIDGE,8450B,DENIM BLUE,  24.00 , 32x40 
BAINBRIDGE,8451B,MULBERRY,  24.00 , 32x40 
BAINBRIDGE,8453B,CAYENNE,  24.00 , 32x40 
BAINBRIDGE,8454B,MARIGOLD,  24.00 , 32x40 
BAINBRIDGE,8455B,MAIZE,  24.00 , 32x40 
BAINBRIDGE,8456B,FOG,  24.00 , 32x40 
BAINBRIDGE,8458B,SMOKE,  24.00 , 32x40 
BAINBRIDGE,8460B,QUAKER GREY,  24.00 , 32x40 
BAINBRIDGE,8461B,GUN METAL,  24.00 , 32x40 
BAINBRIDGE,8462B,WHEAT,  24.00 , 32x40 
BAINBRIDGE,8463B,SPANISH WHITE,  24.00 , 32x40 
BAINBRIDGE,8464B,MATTE WHITE,  24.00 , 32x40 
BAINBRIDGE,8465B,IGLOO,  24.00 , 32x40 
BAINBRIDGE,8466B,FROST,  24.00 , 32x40 
BAINBRIDGE,8467B,FRENCH WHITE,  24.00 , 32x40 
BAINBRIDGE,8468B,MEDIEVAL FOREST,  24.00 , 32x40 
BAINBRIDGE,8470B,ETRUSCAN BRONZE,  24.00 , 32x40 
BAINBRIDGE,8471B,DYNASTY CELADON,  24.00 , 32x40 
BAINBRIDGE,8473B,FLORENTINE LAPIS,  24.00 , 32x40 
BAINBRIDGE,8474B,PERSIAN SAPPHIRE,  24.00 , 32x40 
BAINBRIDGE,8475B,OLYMPIAN BLUE,  24.00 , 32x40 
BAINBRIDGE,8478B,ROMANESQUE GRAPE,  24.00 , 32x40 
BAINBRIDGE,8479B,IMPERIAL PLUM,  24.00 , 32x40 
BAINBRIDGE,8483B,BAROQUE RUBY,  24.00 , 32x40 
BAINBRIDGE,8484B,VENETIAN GARNET,  24.00 , 32x40 
BAINBRIDGE,848443B,ANTIQUE SIENNA,  32.40 , 32x40 
BAINBRIDGE,8485B,RENAISSANCE GOLD,  24.00 , 32x40 
BAINBRIDGE,848512B,EMPIRE GOLD,  32.40 , 32x40 
BAINBRIDGE,848539B,BRONZED MAPLE ALPHA HERITAGE,  32.40 , 32x40 
BAINBRIDGE,8486B,ARABIAN WHITE,  24.00 , 32x40 
BAINBRIDGE,8487B,PALOMINO ALPHA,  24.00 , 32x40 
BAINBRIDGE,8488B,SAND DUNE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8500B,SHELL,  24.00 , 32x40 
BAINBRIDGE,8503B,CHAMOIS ALPHA,  24.00 , 32x40 
BAINBRIDGE,8504B,SHADOW BLUE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8505B,TEAL GRAY ALPHA,  24.00 , 32x40 
BAINBRIDGE,8506B,TUSCAN BROWN,  24.00 , 32x40 
BAINBRIDGE,8509B,MALACCA ALPHA,  24.00 , 32x40 
BAINBRIDGE,8510B,ANNAPOLIS BLUE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8511B,SEA MIST ALPHA,  24.00 , 32x40 
BAINBRIDGE,8512B,SORREL ALPHA,  24.00 , 32x40 
BAINBRIDGE,8514B,SONORA ALPHA,  24.00 , 32x40 
BAINBRIDGE,8515B,DOVER GRAY ALPHA,  24.00 , 32x40 
BAINBRIDGE,8516B,PAMPAS ALPHA,  24.00 , 32x40 
BAINBRIDGE,8517B,IVORY BLACK ALPHA,  24.00 , 32x40 
BAINBRIDGE,8518B,ASH ALPHA,  24.00 , 32x40 
BAINBRIDGE,8519B,SNOWFLAKE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8520B,TALC ALPHA,  24.00 , 32x40 
BAINBRIDGE,8521B,FAIRFIELD ALPHA,  24.00 , 32x40 
BAINBRIDGE,8522B,COBBLESTONE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8525B,ALMOND ALPHA,  24.00 , 32x40 
BAINBRIDGE,8526B,INDIGO ALPHA,  24.00 , 32x40 
BAINBRIDGE,8527B,ALMANDINE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8528B,GARNET ALPHA,  24.00 , 32x40 
BAINBRIDGE,8531B,SPICE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8535B,MOROCCAN SAND ALPHA,  24.00 , 32x40 
BAINBRIDGE,8536B,HEATHER MIST ALPHA,  24.00 , 32x40 
BAINBRIDGE,8539B,BRIARWOOD ALPHA,  24.00 , 32x40 
BAINBRIDGE,8540B,TARTAN GREEN ALPHA,  24.00 , 32x40 
BAINBRIDGE,8545B,CATAWBA ALPHA,  24.00 , 32x40 
BAINBRIDGE,8552B,CARMINE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8555B,NIMBUS ALPHA,  24.00 , 32x40 
BAINBRIDGE,8556B,KIRKWOOD ALPHA,  24.00 , 32x40 
BAINBRIDGE,8559B,PHOTO WHITE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8560B,SULTAN SAND ALPHA,  24.00 , 32x40 
BAINBRIDGE,8563B,TAUPE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8564B,POWDER ROSE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8565B,OLDE ROSE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8567B,DUSK GRAY ALPHA,  24.00 , 32x40 
BAINBRIDGE,8570B,ICE BLUE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8571B,HUNTER GREEN ALPHA,  24.00 , 32x40 
BAINBRIDGE,8572B,BLUE SPRUCE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8573B,TAPESTRY ALPHA,  24.00 , 32x40 
BAINBRIDGE,8574B,SAPPHIRE ALPHA,  24.00 , 32x40 
BAINBRIDGE,8583B,PALE MAUVE,  24.00 , 32x40 
BAINBRIDGE,8584B,PERIWINKLE,  24.00 , 32x40 
BAINBRIDGE,8585B,JONQUIL,  24.00 , 32x40 
BAINBRIDGE,8586B,IRIS,  24.00 , 32x40 
BAINBRIDGE,8589B,TEAL BLUE,  24.00 , 32x40 
BAINBRIDGE,8591B,RIGHT RED,  24.00 , 32x40 
BAINBRIDGE,8592B,BORDEAUX,  24.00 , 32x40 
BAINBRIDGE,8593B,STEEL GREY,  24.00 , 32x40 
BAINBRIDGE,8597B,FLAGSTONE,  24.00 , 32x40 
BAINBRIDGE,8629B,FRESH HAY,  42.70 , 32x40 
BAINBRIDGE,8632B,WHITE 2PLY ALPHARAG,  19.30 , 32x40 
BAINBRIDGE,8634B,WHITE 4PLY ALPHARAG,  33.70 , 32x40 
BAINBRIDGE,8640.8B,ANTIQUE WHITE 8PLY,  75.00 , 32x40 
BAINBRIDGE,8640B,ANTQ WHT 4PLY ALPHRAG,  33.70 , 32x40 
BAINBRIDGE,8642B,CREAM 4PLY ALPHARAG,  35.70 , 32x40 
BAINBRIDGE,8643B,DOVE GRAY 4PLY ALPHRAG,  35.70 , 32x40 
BAINBRIDGE,8644B,EBONY 4PLY ALPHARAG,  42.70 , 32x40 
BAINBRIDGE,8645B,IVORY 4PLY ALPHARAG,  35.70 , 32x40 
BAINBRIDGE,8646.8B,KHAKI 8PLY,  79.10 , 32x40 
BAINBRIDGE,8646B,KHAKI 4PLY ALPHARAG,  35.70 , 32x40 
BAINBRIDGE,8647.8B,PEARL WHITE 8PLY,  75.00 , 32x40 
BAINBRIDGE,8647B,PEARL WHT 4PLY ALPHRAG,  33.70 , 32x40 
BAINBRIDGE,8653.8B,PURE WHITE 8PLY,  72.15 , 32x40 
BAINBRIDGE,8654B,PURE WHITE 2PLY,  19.30 , 32x40 
BAINBRIDGE,8655B,PURE WHITE 4PLY,  33.70 , 32x40 
BAINBRIDGE,8656B,NATURAL WHITE 4PLY,  33.70 , 32x40 
BAINBRIDGE,8660.8B,8 PLY WHITE ALPHA RAG,  72.15 , 32x40 
BAINBRIDGE,8663B,NATURAL BLACK 4PLY,  42.70 , 32x40 
BAINBRIDGE,8664B,SPECIAL CREAM 4PLY,  35.70 , 32x40 
BAINBRIDGE,8665B,TUMBLEWEED,  35.70 , 32x40 
BAINBRIDGE,8666B,SAND,  35.70 , 32x40 
BAINBRIDGE,8667B,COLONIAL CREAM 4PLY,  35.70 , 32x40 
BAINBRIDGE,8668B,ECRU 4PLY,  35.70 , 32x40 
BAINBRIDGE,8669B,BLACK SHADOW 4PLY,  42.70 , 32x40 
BAINBRIDGE,8673B,DEEP SAGE,  42.70 , 32x40 
BAINBRIDGE,8674B,STONE 4PLY,  35.70 , 32x40 
BAINBRIDGE,8678B,COIR,  42.70 , 32x40 
BAINBRIDGE,8688B,GLACIER WHITE,  33.70 , 32x40 
BAINBRIDGE,8690B,TOASTED WHEAT,  42.70 , 32x40 
BAINBRIDGE,8740.8B,SOLID WHITE 8PLY ALPHA ESSENTI,  60.30 , 32x40 
BAINBRIDGE,8740B,SOLID WHITE ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8741.8B,SOLID BLACK 8PLY ALPHA ESSENTI,  60.30 , 32x40 
BAINBRIDGE,8741B,SOLID BLACK ALPHA ESSENTIALS,  29.60 , 32x40 
BAINBRIDGE,8742.8B,WHEAT 8PLY,  60.30 , 32x40 
