category,item,description, chop , cost , JOIN , group , size decimal 
FI ,E110133,BERGAMO 7/8 GOLD PALM LEAF,  6.98 ,  3.35 ,  10.74 ,Wood,  0.88 
FI ,E110134,BERGAMO 7/8 SILVER PALM LEAF,  6.98 ,  3.35 ,  10.74 ,Wood,  0.88 
FI ,E110142,BERGAMO 1 1/8 BLACK REEDS,  4.06 ,  1.95 ,  6.25 ,Wood,  1.13 
FI ,E110143,BERGAMO 1 1/8 GOLD REEDS,  4.06 ,  1.95 ,  6.25 ,Wood,  1.13 
FI ,E110144,BERGAMO 1 1/8 SILVER REEDS,  4.06 ,  1.95 ,  6.25 ,Wood,  1.13 
FI ,E133622,RUE BOURBON 1 13/16 BLACK RSTC,  6.45 ,  3.55 ,  11.74 ,Wood,  1.81 
FI ,E133623,RUE BOURBON 1 13/16 BROWN RSTC,  6.45 ,  3.55 ,  11.74 ,Wood,  1.81 
FI ,E172437,5/8 BLACK,  2.36 ,  1.30 ,  4.30 ,Wood,  0.63 
FI ,E511022,NEHALEM 1 CHARCOAL RAKED,  4.79 ,  2.30 ,  7.37 ,Wood,  1.00 
FI ,E511024,NEHALEM 1 WINE RAKED,  4.79 ,  2.30 ,  7.37 ,Wood,  1.00 
FI ,E511026,NEHALEM 1 DEEP GREEN RAKED,  4.79 ,  2.30 ,  7.37 ,Wood,  1.00 
FI ,E511027,NEHALEM 1 WAYWARD BLUE RAKED,  4.79 ,  2.30 ,  7.37 ,Wood,  1.00 
FI ,E511028,NEHALEM 1 ANTELOPE RAKED,  4.79 ,  2.30 ,  7.37 ,Wood,  1.00 
FI ,E711021,RUE BOURBON 3/4 WHITE RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711022,RUE BOURBON 3/4 BLACK RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711023,RUE BOURBON 3/4 BROWN RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711024,RUE BOURBON 3/4 RED RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711025,RUE BOURBON 3/4 ORANGE RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711026,RUE BOURBON 3/4 GREEN RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,E711027,RUE BOURBON 3/4 BLUE RUSTIC,  3.73 ,  2.05 ,  6.78 ,Wood,  0.75 
FI ,900005,GALLERY 3/4 SATIN BLACK 412/BX,  4.27 ,  2.35 ,  7.77 ,Wood,  0.75 
FI ,900010,GALLERY 7/8 SATIN BLACK 694/BX,  2.73 ,  1.50 ,  4.96 ,Wood,  0.88 
FI ,900015,GALLERY 1 1/4 BLACK 411/BX,  4.45 ,  2.45 ,  8.10 ,Wood,  1.25 
FI ,900020,GALLERY 1 11/16 BLACK 190/BX,  6.82 ,  3.75 ,  12.40 ,Wood,  1.69 
FI ,900025,GALLERY 7/8 BLACK 384/BX,  3.73 ,  2.05 ,  6.78 ,Wood,  0.88 
FI ,900030,GALLERY 1 1/4 BLACK 367/BX,  3.82 ,  2.10 ,  6.94 ,Wood,  1.25 
FI ,900035,GALLERY 7/8 BLACK 478/BX,  3.27 ,  1.80 ,  5.95 ,Wood,  0.88 
FI ,900040,GALLERY 7/8 BLACK 998/BX,  2.64 ,  1.45 ,  4.79 ,Wood,  0.88 
FI ,900045,GALLERY 5/8 BLACK 957/BX,  2.82 ,  1.55 ,  5.12 ,Wood,  0.63 
FI ,900050,GALLERY 1 3/16 BLACK 354/BX,  4.09 ,  2.25 ,  7.44 ,Wood,  1.19 
FI ,900055,GALLERY 1 3/4 BLACK 252/BX,  5.45 ,  3.00 ,  9.92 ,Wood,  1.75 
FI ,900060,GALLERY 1 1/8 BLACK 413/BX,  4.09 ,  2.25 ,  7.44 ,Wood,  1.13 
FI ,900070,GALLERY 1 3/4 BLACK 258/BOX,  5.73 ,  3.15 ,  10.41 ,Wood,  1.75 
FI ,900075,GALLERY 2 3/8 BLACK 206/BX,  6.82 ,  3.75 ,  12.40 ,Wood,  2.38 
FI ,900080,GALLERY 1 1/4 BLACK 262/BOX,  4.36 ,  2.40 ,  7.93 ,Wood,  1.25 
FI ,900090,GALLERY 1 X 2 1/4 BLACK 156/BX,  8.73 ,  4.80 ,  15.87 ,Wood,  1.00 
FI ,900100,GALLERY 3/4 BLACK 648/BX,  3.09 ,  1.70 ,  5.62 ,Wood,  0.75 
FI ,900125,GALLERY 1 1/2 BLACK 398/BX,  4.45 ,  2.45 ,  8.10 ,Wood,  1.50 
FI ,900135,GALLERY 1 1/8 BLACK 312/BX,  4.31 ,  2.37 ,  7.83 ,Wood,  1.13 
FI ,911105,GALLERY 1 BLACK 577/BX,  3.36 ,  1.85 ,  6.12 ,Wood,  1.00 
FI ,911210,GALLERY 5/8 SATIN BLACK 756/BX,  3.55 ,  1.95 ,  6.45 ,Wood,  0.63 
FI ,911220,GALLERY 5/8 BLACK W/ RED,  3.55 ,  1.95 ,  6.45 ,Wood,  0.63 
FI ,911225,GALLERY 7/8 BLACK W/ BEAD,  2.91 ,  1.60 ,  5.29 ,Wood,  0.88 
FI ,911230,GALLERY 1 9/16 BLACK W/ BEAD,  5.00 ,  2.75 ,  9.09 ,Wood,  1.56 
FI ,911245,GALLERY 1 1/2 BLACK 349/BX,  4.64 ,  2.55 ,  8.43 ,Wood,  1.50 
FI ,911250,"GALLERY 1 3/4"" BLACK 306/BX",  5.36 ,  2.95 ,  9.75 ,Wood,  1.75 
FI ,911345,3/4 SATIN WHITE NO GESSO 448/B,  3.18 ,  1.75 ,  5.79 ,Wood,  0.75 
FI ,911355,"1 1/4"" GALLERY WHITE NG 320/B",  3.83 ,  2.11 ,  6.96 ,Wood,  1.25 
FI ,911400,15/16 GALLERY ESPRESSO 540/BX,  3.65 ,  1.75 ,  5.60 ,Wood,  0.94 
FI ,911405,1 3/8 GALLERY ESPRESSO 378/BX,  5.45 ,  2.60 ,  8.35 ,Wood,  1.38 
FI ,911410,1 9/16 GALLERY ESPRESSO 324/BX,  5.85 ,  2.80 ,  9.00 ,Wood,  1.56 
FI ,911415,7/8 GALLERY ESPRESSO 378/BX,  6.45 ,  3.10 ,  9.95 ,Wood,  0.88 
FI ,911500,3/4 GALLERY BLACK OPEN GRAIN,  2.90 ,  1.40 ,  4.85 ,Wood,  0.75 
FI ,911501,1 1/4 GALLERY BLACK OPEN GRAIN,  5.55 ,  2.65 ,  8.54 ,Wood,  1.25 
FI ,911505,3/4 GALLERY WHITE OPEN GRAIN,  2.90 ,  1.40 ,  4.85 ,Wood,  0.75 
FI ,911506,1 1/4 GALLERY WHITE OPEN GRAIN,  5.55 ,  2.65 ,  8.54 ,Wood,  1.25 
FI ,911510,3/4 GALLERY NATURAL OPEN GRAIN,  2.90 ,  1.40 ,  4.85 ,Wood,  0.75 
FI ,911511,1 1/4 GALLERY NATURAL OPN GRAI,  5.55 ,  2.65 ,  8.54 ,Wood,  1.25 
